    # time       flux      error   full_mod       base    transit   det_flux
8558.606743   1.000037   0.000942   1.000004   1.000004   1.000000   1.000033
8558.608132   0.999411   0.000940   1.000004   1.000004   1.000000   0.999407
8558.609521   1.000266   0.000942   1.000004   1.000004   1.000000   1.000262
8558.610910   1.000292   0.000941   1.000004   1.000004   1.000000   1.000288
8558.612299   0.999112   0.000941   1.000004   1.000004   1.000000   0.999108
8558.613688   1.000354   0.000941   1.000004   1.000004   1.000000   1.000350
8558.615076   0.999375   0.000942   1.000004   1.000004   1.000000   0.999371
8558.616465   1.000848   0.000942   1.000004   1.000004   1.000000   1.000844
8558.617854   0.998905   0.000943   1.000004   1.000004   1.000000   0.998901
8558.619243   0.999903   0.000940   1.000004   1.000004   1.000000   0.999899
8558.620632   0.999133   0.000941   1.000004   1.000004   1.000000   0.999129
8558.622021   1.000169   0.000941   1.000004   1.000004   1.000000   1.000165
8558.623410   0.999328   0.000941   1.000004   1.000004   1.000000   0.999324
8558.624798   0.999411   0.000941   1.000004   1.000004   1.000000   0.999407
8558.626187   0.999959   0.000941   1.000004   1.000004   1.000000   0.999955
8558.627576   1.000426   0.000940   1.000004   1.000004   1.000000   1.000422
8558.628965   0.999584   0.000942   1.000004   1.000004   1.000000   0.999580
8558.630354   0.999575   0.000940   1.000004   1.000004   1.000000   0.999571
8558.631743   0.999925   0.000940   1.000004   1.000004   1.000000   0.999921
8558.633132   0.999586   0.000940   1.000004   1.000004   1.000000   0.999582
8558.634521   0.999959   0.000940   1.000004   1.000004   1.000000   0.999955
8558.635909   0.999748   0.000940   1.000004   1.000004   1.000000   0.999744
8558.637298   0.998943   0.000939   1.000004   1.000004   1.000000   0.998939
8558.638687   1.001408   0.000941   1.000004   1.000004   1.000000   1.001404
8558.640076   0.999254   0.000940   1.000004   1.000004   1.000000   0.999250
8558.641465   0.999298   0.000941   1.000004   1.000004   1.000000   0.999294
8558.642854   1.000217   0.000942   1.000004   1.000004   1.000000   1.000213
