    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.607484   1.005797   0.000647   1.006805   1.007022   0.999785   0.998784
8209.608157   1.007971   0.000642   1.006924   1.007313   0.999615   1.000654
8209.608828   1.006057   0.000640   1.007222   1.007815   0.999412   0.998256
8209.609499   1.007774   0.000642   1.006469   1.007296   0.999179   1.000475
8209.610169   1.006086   0.000641   1.005995   1.007081   0.998921   0.999012
8209.610841   1.004661   0.000640   1.005581   1.006951   0.998639   0.997725
8209.611511   1.003181   0.000640   1.004959   1.006634   0.998336   0.996570
8209.612187   1.003662   0.000640   1.004061   1.006063   0.998011   0.997614
8209.612864   1.004222   0.000640   1.004509   1.006858   0.997668   0.997382
8209.613540   1.004996   0.000640   1.004003   1.006711   0.997310   0.998297
8209.614210   1.003417   0.000640   1.003439   1.006517   0.996942   0.996920
8209.614886   1.004251   0.000640   1.003707   1.007173   0.996559   0.997099
8209.615563   1.002238   0.000639   1.002757   1.006617   0.996165   0.995650
8209.616244   1.002531   0.000639   1.002731   1.007000   0.995761   0.995562
8209.616906   1.001590   0.000639   1.001810   1.006478   0.995362   0.995143
8209.617577   1.000511   0.000638   1.001433   1.006512   0.994954   0.994038
8209.618251   1.001855   0.000638   1.001099   1.006593   0.994542   0.995293
8209.618919   0.998958   0.000637   1.000269   1.006172   0.994134   0.992830
8209.619588   1.000610   0.000638   1.000362   1.006676   0.993727   0.993974
8209.620263   0.999384   0.000637   0.999598   1.006318   0.993322   0.993109
8209.620933   0.998895   0.000637   0.999347   1.006464   0.992928   0.992480
8209.621605   0.997847   0.000636   0.998519   1.006020   0.992545   0.991876
8209.622283   0.998237   0.000636   0.998408   1.006284   0.992173   0.992003
8209.622960   0.999710   0.000637   0.998226   1.006457   0.991822   0.993296
8209.623633   0.997469   0.000636   0.997824   1.006378   0.991500   0.991147
8209.624305   0.997052   0.000636   0.996817   1.005650   0.991217   0.991450
8209.624974   0.997445   0.000636   0.996927   1.005977   0.991004   0.991519
8209.625648   0.996629   0.000635   0.997136   1.006343   0.990851   0.990347
8209.626319   0.996836   0.000635   0.997012   1.006358   0.990712   0.990538
8209.626989   0.996046   0.000635   0.996558   1.006032   0.990583   0.990074
8209.627662   0.996063   0.000635   0.996979   1.006580   0.990462   0.989551
8209.628335   0.995479   0.000635   0.996702   1.006417   0.990347   0.989132
8209.629012   0.995385   0.000635   0.996210   1.006032   0.990237   0.989417
8209.629683   0.997284   0.000636   0.996544   1.006474   0.990134   0.990869
8209.630360   0.995041   0.000635   0.995976   1.006001   0.990035   0.989105
8209.631037   0.996808   0.000636   0.996363   1.006489   0.989939   0.990382
8209.631710   0.994930   0.000634   0.996001   1.006216   0.989849   0.988784
8209.632383   0.994166   0.000634   0.995184   1.005478   0.989762   0.988750
8209.633056   0.995818   0.000635   0.995861   1.006247   0.989678   0.989636
8209.633731   0.994996   0.000635   0.995672   1.006138   0.989597   0.988926
8209.634406   0.994819   0.000635   0.995503   1.006047   0.989519   0.988840
8209.635084   0.995493   0.000635   0.995495   1.006115   0.989444   0.989442
8209.635758   0.995778   0.000635   0.995841   1.006539   0.989372   0.989309
8209.636431   0.995280   0.000634   0.995426   1.006191   0.989302   0.989156
8209.637107   0.995214   0.000634   0.995183   1.006014   0.989234   0.989265
8209.637777   0.997270   0.000635   0.995659   1.006562   0.989169   0.990769
8209.638447   0.994106   0.000639   0.995074   1.006034   0.989105   0.988143
8209.639121   0.996236   0.000640   0.995601   1.006630   0.989044   0.989675
8209.639798   0.995613   0.000640   0.995596   1.006686   0.988984   0.989001
8209.640469   0.997116   0.000641   0.996153   1.007308   0.988926   0.989882
8209.641141   0.994628   0.000640   0.995810   1.007018   0.988870   0.987697
8209.641812   0.993579   0.000639   0.996051   1.007317   0.988816   0.986362
8209.642488   0.994992   0.000640   0.995167   1.006477   0.988763   0.988589
8209.643167   0.995137   0.000640   0.995659   1.007028   0.988711   0.988192
8209.643835   0.996789   0.000642   0.996047   1.007470   0.988661   0.989398
8209.644510   0.995197   0.000641   0.995458   1.006925   0.988612   0.988353
8209.645185   0.995700   0.000641   0.996316   1.007841   0.988565   0.987954
8209.645857   0.996669   0.000642   0.995605   1.007168   0.988519   0.989575
8209.646526   0.995552   0.000641   0.995811   1.007422   0.988474   0.988217
8209.647198   0.996846   0.000642   0.995550   1.007202   0.988431   0.989718
8209.647872   0.996070   0.000641   0.995421   1.007115   0.988388   0.989033
8209.648555   0.995256   0.000641   0.995445   1.007182   0.988346   0.988159
8209.649230   0.995855   0.000641   0.995553   1.007333   0.988306   0.988606
8209.649903   0.995286   0.000646   0.995712   1.007534   0.988267   0.987844
8209.650574   0.994514   0.000646   0.995354   1.007210   0.988229   0.987395
8209.651360   0.996432   0.000647   0.995628   1.007531   0.988186   0.988984
8209.652033   0.992725   0.000645   0.995308   1.007244   0.988150   0.985585
8209.652703   0.995687   0.000647   0.995346   1.007318   0.988115   0.988453
8209.653373   0.995767   0.000647   0.995496   1.007505   0.988081   0.988349
8209.654047   0.995554   0.000647   0.995703   1.007748   0.988047   0.987899
8209.654716   0.994301   0.000646   0.994964   1.007033   0.988015   0.987357
8209.655389   0.995820   0.000647   0.995182   1.007286   0.987983   0.988617
8209.656059   0.993975   0.000646   0.995159   1.007295   0.987952   0.986777
8209.656731   0.996613   0.000648   0.995929   1.008104   0.987922   0.988601
8209.657402   0.994353   0.000652   0.995197   1.007393   0.987893   0.987056
8209.658072   0.995596   0.000653   0.995405   1.007633   0.987865   0.988054
8209.658742   0.995172   0.000653   0.995029   1.007281   0.987837   0.987979
8209.659416   0.994982   0.000653   0.995293   1.007575   0.987810   0.987501
8209.660087   0.995078   0.000653   0.995095   1.007402   0.987784   0.987767
8209.660758   0.995016   0.000653   0.995146   1.007480   0.987758   0.987629
8209.661431   0.995176   0.000653   0.995530   1.007894   0.987733   0.987382
8209.662103   0.994017   0.000652   0.994988   1.007369   0.987709   0.986745
8209.662774   0.994355   0.000653   0.994730   1.007132   0.987685   0.987313
8209.663449   0.995317   0.000659   0.995173   1.007605   0.987662   0.987805
8209.664131   0.993666   0.000658   0.994988   1.007441   0.987639   0.986327
8209.664807   0.994657   0.000659   0.994678   1.007149   0.987617   0.987597
8209.665479   0.994692   0.000659   0.994637   1.007129   0.987596   0.987651
8209.666152   0.993630   0.000659   0.994722   1.007236   0.987575   0.986491
8209.666822   0.995690   0.000659   0.995100   1.007639   0.987555   0.988141
8209.667494   0.995684   0.000659   0.995210   1.007771   0.987536   0.988007
8209.668162   0.995074   0.000659   0.994985   1.007562   0.987517   0.987606
8209.668836   0.994007   0.000665   0.995205   1.007804   0.987499   0.986310
8209.669506   0.994733   0.000665   0.994512   1.007120   0.987481   0.987701
8209.670178   0.994006   0.000665   0.994617   1.007244   0.987464   0.986857
8209.670850   0.995177   0.000665   0.995104   1.007754   0.987447   0.987519
8209.671521   0.995077   0.000665   0.994917   1.007582   0.987430   0.987589
8209.672192   0.993724   0.000664   0.995115   1.007798   0.987415   0.986035
8209.672864   0.995859   0.000666   0.995118   1.007817   0.987399   0.988135
8209.673536   0.994627   0.000672   0.995024   1.007737   0.987385   0.986990
8209.674207   0.996060   0.000672   0.994996   1.007723   0.987370   0.988426
8209.674880   0.995049   0.000672   0.994940   1.007681   0.987356   0.987464
8209.675556   0.995210   0.000672   0.994686   1.007438   0.987343   0.987862
8209.676230   0.993220   0.000671   0.993970   1.006725   0.987330   0.986585
8209.676892   0.994204   0.000671   0.994719   1.007497   0.987318   0.986806
8209.677563   0.994978   0.000678   0.995307   1.008104   0.987306   0.986979
8209.678233   0.994991   0.000678   0.994787   1.007589   0.987294   0.987497
8209.678905   0.994920   0.000678   0.995105   1.007923   0.987283   0.987100
8209.679578   0.993569   0.000678   0.993685   1.006495   0.987272   0.987157
8209.680253   0.994491   0.000678   0.994571   1.007404   0.987262   0.987182
8209.680933   0.995083   0.000679   0.994848   1.007694   0.987252   0.987485
8209.681606   0.993623   0.000685   0.994278   1.007127   0.987242   0.986592
8209.682283   0.993802   0.000685   0.994226   1.007083   0.987233   0.986813
