8539.609425 0.999025  0.000875  -0.92 -19.10  1.38 15.35    34.66    40.00
8539.610071 0.999269  0.000876   2.68  14.07  1.38 15.95    34.56    40.00
8539.610763 0.999707  0.000867  -0.72  -7.03  1.37 15.34    34.49    40.00
8539.611431 0.999325  0.000867  -1.91  -7.58  1.37 15.99    34.44    40.00
8539.612101 0.998860  0.000866  -2.97  -3.60  1.37 15.39    34.50    40.00
8539.612771 0.998480  0.000858  -1.21  -4.61  1.36 16.04    34.27    40.00
8539.613463 0.999234  0.000858   0.39  -2.60  1.36 16.00    34.20    40.00
8539.614108 0.999184  0.000850   0.25  -2.85  1.35 15.75    34.04    40.00
8539.614779 0.998827  0.000850   0.08  -0.64  1.35 16.47    34.02    40.00
8539.615445 0.999510  0.000850  -0.33  -0.52  1.35 16.11    33.91    40.00
8539.616094 0.998189  0.000841   0.91  -0.25  1.34 16.23    33.94    40.00
8539.616787 0.998561  0.000841   0.13  -0.35  1.34 16.32    33.79    40.00
8539.617432 1.000079  0.000834  -0.88  -0.65  1.33 16.20    33.66    40.00
8539.618121 0.998978  0.000836   0.32   0.04  1.33 17.58    34.02    40.00
8539.618771 0.999389  0.000834  -0.15  -1.47  1.33 16.97    33.98    40.00
8539.619494 0.999860  0.000826  -1.60  -1.56  1.32 15.54    33.57    40.00
8539.620134 1.002071  0.000827  -3.01  -1.96  1.32 14.47    33.73    40.00
8539.620800 0.999519  0.000824  -0.54  -0.18  1.32 14.29    33.69    40.00
8539.621473 0.999558  0.000817  -0.83   0.18  1.31 16.23    33.78    40.00
8539.622142 1.001826  0.000818  -0.61  -0.17  1.31 16.11    33.74    40.00
8539.622812 1.002237  0.000819  -0.98   0.41  1.31 15.73    33.71    40.00
8539.623478 1.000230  0.000810  -1.18  -0.66  1.30 16.24    33.93    40.00
8539.624123 1.001009  0.000810  -1.63  -0.83  1.30 15.20    34.15    40.00
8539.624794 1.001714  0.000811  -1.48   0.71  1.30 14.65    34.11    40.00
8539.625484 1.001256  0.000803  -0.43   0.76  1.29 15.84    34.55    40.00
8539.626155 1.002501  0.000803   2.10  -0.04  1.29 15.32    34.65    40.00
8539.626819 0.999353  0.000802   2.12   0.31  1.29 15.87    34.93    40.00
8539.627492 0.999675  0.000795  -0.81   1.01  1.28 15.47    35.30    40.00
8539.628163 1.000154  0.000793  -2.15  -0.24  1.28 15.33    35.49    40.00
8539.628862 1.001790  0.000795  -1.44  -1.87  1.28 15.09    35.99    40.00
8539.629499 1.001787  0.000786  -0.77  -2.20  1.27 14.21    36.07    40.00
8539.630166 0.999252  0.000787   0.08   0.56  1.27 16.42    36.25    40.00
8539.630839 0.999733  0.000785   0.08  -0.29  1.27 15.64    36.76    40.00
8539.631509 1.001480  0.000779  -2.45  -0.40  1.26 14.46    37.13    40.00
8539.632173 1.001782  0.000778  -3.08  -1.68  1.26 14.40    37.25    40.00
8539.632833 1.001182  0.000778   1.05   0.41  1.26 13.82    37.55    40.00
8539.633522 1.000672  0.000777   0.82   0.50  1.26 14.40    37.91    40.00
8539.634186 1.000195  0.000770   0.11  -0.48  1.25 15.49    38.22    40.00
8539.634859 1.001674  0.000770  -0.46  -0.77  1.25 14.51    38.58    40.00
8539.635521 1.000181  0.000770  -0.22   0.15  1.25 15.23    38.82    40.00
8539.636194 0.998913  0.000761  -0.63   0.43  1.24 14.64    39.52    40.00
8539.636865 1.001195  0.000762  -0.83  -0.37  1.24 14.00    40.06    40.00
8539.637561 1.000219  0.000762  -0.29  -0.27  1.24 15.48    40.31    40.00
8539.638202 1.001556  0.000762   0.17   0.48  1.24 13.95    40.89    40.00
8539.638866 0.999004  0.000753  -0.67  -0.01  1.23 14.97    41.00    40.00
8539.639533 1.001512  0.000755  -0.14  -0.68  1.23 14.15    41.44    40.00
8539.640198 1.001712  0.000755   0.49  -0.08  1.23 15.23    41.67    40.00
8539.640869 1.000319  0.000754  -1.12  -0.38  1.23 14.81    42.20    40.00
8539.641539 1.000054  0.000747  -0.20   0.64  1.22 14.40    42.51    40.00
8539.642203 1.001195  0.000747   0.86   1.77  1.22 14.42    42.75    40.00
8539.642872 1.001244  0.000747   1.52   2.03  1.22 14.81    43.01    40.00
8539.643541 1.000846  0.000747   0.21  -1.21  1.22 15.76    43.36    40.00
8539.644208 0.999651  0.000738  -0.05  -0.29  1.21 15.60    43.82    40.00
