    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.607484   1.005797   0.000647   1.006563   1.006935   0.999631   0.998870
8209.608157   1.007971   0.000642   1.006686   1.007251   0.999440   1.000715
8209.608828   1.006057   0.000640   1.007076   1.007860   0.999222   0.998211
8209.609499   1.007774   0.000642   1.006204   1.007232   0.998980   1.000538
8209.610169   1.006086   0.000641   1.005704   1.006997   0.998716   0.999095
8209.610841   1.004661   0.000640   1.005283   1.006862   0.998432   0.997814
8209.611511   1.003181   0.000640   1.004674   1.006556   0.998131   0.996647
8209.612187   1.003662   0.000640   1.003849   1.006052   0.997811   0.997625
8209.612864   1.004222   0.000640   1.004227   1.006769   0.997475   0.997470
8209.613540   1.004996   0.000640   1.003725   1.006616   0.997127   0.998390
8209.614210   1.003417   0.000640   1.003168   1.006417   0.996771   0.997019
8209.614886   1.004251   0.000640   1.003410   1.007033   0.996402   0.997237
8209.615563   1.002238   0.000639   1.002487   1.006489   0.996024   0.995777
8209.616244   1.002531   0.000639   1.002447   1.006840   0.995637   0.995720
8209.616906   1.001590   0.000639   1.001561   1.006336   0.995256   0.995284
8209.617577   1.000511   0.000638   1.001194   1.006361   0.994866   0.994187
8209.618251   1.001855   0.000638   1.000870   1.006432   0.994474   0.995453
8209.618919   0.998958   0.000637   1.000098   1.006049   0.994084   0.992951
8209.619588   1.000610   0.000638   1.000147   1.006491   0.993697   0.994157
8209.620263   0.999384   0.000637   0.999421   1.006153   0.993310   0.993273
8209.620933   0.998895   0.000637   0.999160   1.006272   0.992932   0.992669
8209.621605   0.997847   0.000636   0.998392   1.005873   0.992563   0.992021
8209.622283   0.998237   0.000636   0.998240   1.006085   0.992203   0.992199
8209.622960   0.999710   0.000637   0.998039   1.006231   0.991859   0.993519
8209.623633   0.997469   0.000636   0.997656   1.006170   0.991538   0.991352
8209.624305   0.997052   0.000636   0.996734   1.005538   0.991244   0.991560
8209.624974   0.997445   0.000636   0.996737   1.005800   0.990989   0.991693
8209.625648   0.996629   0.000635   0.996864   1.006118   0.990803   0.990569
8209.626319   0.996836   0.000635   0.996748   1.006145   0.990661   0.990748
8209.626989   0.996046   0.000635   0.996314   1.005839   0.990530   0.990264
8209.627662   0.996063   0.000635   0.996701   1.006354   0.990407   0.989774
8209.628335   0.995479   0.000635   0.996440   1.006208   0.990292   0.989337
8209.629012   0.995385   0.000635   0.995974   1.005849   0.990182   0.989597
8209.629683   0.997284   0.000636   0.996277   1.006261   0.990079   0.991079
8209.630360   0.995041   0.000635   0.995760   1.005839   0.989979   0.989264
8209.631037   0.996808   0.000636   0.996105   1.006285   0.989884   0.990583
8209.631710   0.994930   0.000634   0.995766   1.006033   0.989794   0.988963
8209.632383   0.994166   0.000634   0.995070   1.005418   0.989707   0.988808
8209.633056   0.995818   0.000635   0.995639   1.006079   0.989624   0.989801
8209.633731   0.994996   0.000635   0.995477   1.005996   0.989543   0.989065
8209.634406   0.994819   0.000635   0.995326   1.005923   0.989465   0.988962
8209.635084   0.995493   0.000635   0.995310   1.005984   0.989390   0.989572
8209.635758   0.995778   0.000635   0.995618   1.006368   0.989318   0.989477
8209.636431   0.995280   0.000634   0.995263   1.006080   0.989248   0.989265
8209.637107   0.995214   0.000634   0.995046   1.005930   0.989181   0.989347
8209.637777   0.997270   0.000635   0.995470   1.006424   0.989116   0.990905
8209.638447   0.994106   0.000639   0.994980   1.005992   0.989053   0.988185
8209.639121   0.996236   0.000640   0.995423   1.006503   0.988992   0.989800
8209.639798   0.995613   0.000640   0.995432   1.006573   0.988932   0.989111
8209.640469   0.997116   0.000641   0.995954   1.007159   0.988875   0.990028
8209.641141   0.994628   0.000640   0.995638   1.006896   0.988819   0.987816
8209.641812   0.993579   0.000639   0.995879   1.007195   0.988765   0.986482
8209.642488   0.994992   0.000640   0.995072   1.006433   0.988712   0.988632
8209.643167   0.995137   0.000640   0.995496   1.006914   0.988660   0.988304
8209.643835   0.996789   0.000642   0.995840   1.007313   0.988611   0.989553
8209.644510   0.995197   0.000641   0.995295   1.006811   0.988562   0.988465
8209.645185   0.995700   0.000641   0.996113   1.007686   0.988515   0.988105
8209.645857   0.996669   0.000642   0.995421   1.007032   0.988469   0.989709
8209.646526   0.995552   0.000641   0.995616   1.007275   0.988425   0.988362
8209.647198   0.996846   0.000642   0.995371   1.007071   0.988382   0.989846
8209.647872   0.996070   0.000641   0.995260   1.007002   0.988340   0.989144
8209.648555   0.995256   0.000641   0.995289   1.007073   0.988298   0.988266
8209.649230   0.995855   0.000641   0.995390   1.007217   0.988258   0.988720
8209.649903   0.995286   0.000646   0.995539   1.007407   0.988219   0.987969
8209.650574   0.994514   0.000646   0.995202   1.007105   0.988182   0.987498
8209.651360   0.996432   0.000647   0.995470   1.007419   0.988139   0.989094
8209.652033   0.992725   0.000645   0.995159   1.007141   0.988103   0.985686
8209.652703   0.995687   0.000647   0.995185   1.007203   0.988068   0.988566
8209.653373   0.995767   0.000647   0.995329   1.007382   0.988035   0.988470
8209.654047   0.995554   0.000647   0.995544   1.007634   0.988002   0.988011
8209.654716   0.994301   0.000646   0.994798   1.006911   0.987970   0.987476
8209.655389   0.995820   0.000647   0.995001   1.007149   0.987938   0.988752
8209.656059   0.993975   0.000646   0.994978   1.007156   0.987908   0.986912
8209.656731   0.996613   0.000648   0.995853   1.008072   0.987878   0.988633
8209.657402   0.994353   0.000652   0.995007   1.007246   0.987850   0.987200
8209.658072   0.995596   0.000653   0.995229   1.007499   0.987822   0.988186
8209.658742   0.995172   0.000653   0.994836   1.007129   0.987794   0.988127
8209.659416   0.994982   0.000653   0.995120   1.007443   0.987768   0.987631
8209.660087   0.995078   0.000653   0.994920   1.007267   0.987742   0.987899
8209.660758   0.995016   0.000653   0.994968   1.007342   0.987716   0.987764
8209.661431   0.995176   0.000653   0.995402   1.007807   0.987692   0.987467
8209.662103   0.994017   0.000652   0.994802   1.007223   0.987668   0.986889
8209.662774   0.994355   0.000653   0.994539   1.006981   0.987645   0.987462
8209.663449   0.995317   0.000659   0.995004   1.007475   0.987622   0.987932
8209.664131   0.993666   0.000658   0.994804   1.007294   0.987600   0.986470
8209.664807   0.994657   0.000659   0.994482   1.006990   0.987578   0.987752
8209.665479   0.994692   0.000659   0.994423   1.006952   0.987558   0.987824
8209.666152   0.993630   0.000659   0.994521   1.007071   0.987537   0.986653
8209.666822   0.995690   0.000659   0.994922   1.007498   0.987518   0.988280
8209.667494   0.995684   0.000659   0.995033   1.007629   0.987499   0.988145
8209.668162   0.995074   0.000659   0.994794   1.007407   0.987481   0.987758
8209.668836   0.994007   0.000665   0.995026   1.007660   0.987463   0.986451
8209.669506   0.994733   0.000665   0.994324   1.006966   0.987445   0.987852
8209.670178   0.994006   0.000665   0.994413   1.007074   0.987429   0.987024
8209.670850   0.995177   0.000665   0.994903   1.007586   0.987412   0.987684
8209.671521   0.995077   0.000665   0.994710   1.007407   0.987397   0.987760
8209.672192   0.993724   0.000664   0.994924   1.007639   0.987381   0.986190
8209.672864   0.995859   0.000666   0.994927   1.007657   0.987367   0.988292
8209.673536   0.994627   0.000672   0.994821   1.007564   0.987352   0.987160
8209.674207   0.996060   0.000672   0.994797   1.007554   0.987339   0.988592
8209.674880   0.995049   0.000672   0.994738   1.007508   0.987326   0.987634
8209.675556   0.995210   0.000672   0.994488   1.007267   0.987313   0.988030
8209.676230   0.993220   0.000671   0.993831   1.006615   0.987300   0.986693
8209.676892   0.994204   0.000671   0.994517   1.007322   0.987289   0.986978
8209.677563   0.994978   0.000678   0.995164   1.007988   0.987277   0.987093
8209.678233   0.994991   0.000678   0.994583   1.007411   0.987267   0.987671
8209.678905   0.994920   0.000678   0.994919   1.007762   0.987256   0.987257
8209.679578   0.993569   0.000678   0.993571   1.006406   0.987246   0.987244
8209.680253   0.994491   0.000678   0.994372   1.007228   0.987237   0.987355
8209.680933   0.995083   0.000679   0.994635   1.007504   0.987228   0.987672
8209.681606   0.993623   0.000685   0.994078   1.006948   0.987219   0.986767
8209.682283   0.993802   0.000685   0.994032   1.006910   0.987211   0.986982
8209.682957   0.992565   0.000684   0.993619   1.006499   0.987203   0.986156
8209.683627   0.992930   0.000684   0.993423   1.006308   0.987196   0.986706
8209.684298   0.993529   0.000685   0.994133   1.007035   0.987189   0.986589
8209.684972   0.993832   0.000691   0.994463   1.007376   0.987182   0.986556
8209.685735   0.995073   0.000692   0.994641   1.007562   0.987175   0.987605
8209.686405   0.994670   0.000692   0.994419   1.007343   0.987170   0.987419
8209.687077   0.994123   0.000691   0.993737   1.006658   0.987165   0.987548
8209.687748   0.994397   0.000691   0.993946   1.006874   0.987160   0.987608
8209.688420   0.993400   0.000697   0.993823   1.006755   0.987156   0.986735
8209.689100   0.992926   0.000697   0.993861   1.006797   0.987152   0.986223
8209.689785   0.993874   0.000698   0.993720   1.006658   0.987148   0.987301
8209.690456   0.995374   0.000698   0.994537   1.007489   0.987145   0.987976
8209.691128   0.994772   0.000705   0.994019   1.006967   0.987142   0.987890
8209.691799   0.995139   0.000705   0.994267   1.007219   0.987140   0.988006
8209.692469   0.994642   0.000705   0.994565   1.007524   0.987138   0.987215
8209.693140   0.993942   0.000704   0.994036   1.006989   0.987137   0.987044
8209.693812   0.994113   0.000705   0.994064   1.007019   0.987136   0.987184
8209.694581   0.994124   0.000711   0.994105   1.007061   0.987135   0.987154
8209.695251   0.994289   0.000711   0.993900   1.006854   0.987135   0.987521
8209.695922   0.994062   0.000711   0.993944   1.006898   0.987135   0.987252
8209.696592   0.992778   0.000711   0.994303   1.007261   0.987135   0.985621
8209.697264   0.995473   0.000719   0.994074   1.007028   0.987136   0.988526
8209.697935   0.992840   0.000717   0.993742   1.006690   0.987138   0.986242
8209.698607   0.994624   0.000719   0.994175   1.007127   0.987140   0.987586
8209.699277   0.994421   0.000718   0.994741   1.007698   0.987142   0.986825
8209.699945   0.995642   0.000726   0.994150   1.007097   0.987144   0.988626
8209.700617   0.994174   0.000725   0.994301   1.007247   0.987147   0.987021
8209.701289   0.993934   0.000725   0.994754   1.007702   0.987151   0.986337
8209.701958   0.993113   0.000731   0.994713   1.007656   0.987155   0.985567
8209.702631   0.994486   0.000732   0.994449   1.007385   0.987159   0.987196
8209.703302   0.994361   0.000732   0.994333   1.007262   0.987164   0.987192
8209.703974   0.993525   0.000732   0.994608   1.007536   0.987169   0.986094
8209.704643   0.993884   0.000739   0.994290   1.007208   0.987174   0.986771
8209.705314   0.996364   0.000741   0.994481   1.007396   0.987180   0.989049
8209.705987   0.993851   0.000739   0.994523   1.007432   0.987186   0.986519
8209.706664   0.995228   0.000747   0.994336   1.007235   0.987193   0.988079
8209.707334   0.994008   0.000746   0.994350   1.007242   0.987200   0.986861
8209.708006   0.994564   0.000747   0.994364   1.007249   0.987208   0.987407
8209.708674   0.993299   0.000746   0.994489   1.007367   0.987216   0.986034
8209.709448   0.994827   0.000754   0.994527   1.007395   0.987226   0.987524
8209.710119   0.995448   0.000755   0.994667   1.007529   0.987234   0.988010
8209.710797   0.995566   0.000755   0.995609   1.008473   0.987244   0.987202
8209.711471   0.996316   0.000762   0.995382   1.008233   0.987254   0.988180
8209.712144   0.995614   0.000762   0.995067   1.007903   0.987264   0.987807
8209.712816   0.995165   0.000762   0.995199   1.008026   0.987275   0.987241
8209.713489   0.994731   0.000768   0.995624   1.008446   0.987286   0.986400
8209.714158   0.996357   0.000770   0.995884   1.008696   0.987298   0.987767
8209.714829   0.994713   0.000769   0.994900   1.007688   0.987310   0.987124
8209.715501   0.995002   0.000777   0.994719   1.007492   0.987323   0.987603
8209.716183   0.996954   0.000778   0.995270   1.008036   0.987336   0.989006
8209.716860   0.992971   0.000775   0.995141   1.007892   0.987350   0.985196
8209.717536   0.994187   0.000784   0.994890   1.007622   0.987364   0.986666
8209.718209   0.995283   0.000785   0.994832   1.007549   0.987379   0.987826
8209.718881   0.995359   0.000792   0.994840   1.007542   0.987394   0.987908
8209.719551   0.995359   0.000792   0.995983   1.008684   0.987409   0.986790
8209.720222   0.994714   0.000792   0.995075   1.007747   0.987425   0.987067
8209.720893   0.995471   0.000800   0.994920   1.007573   0.987442   0.987989
8209.721564   0.994493   0.000799   0.995182   1.007821   0.987459   0.986775
8209.722238   0.996641   0.000801   0.995321   1.007944   0.987477   0.988786
8209.722912   0.995901   0.000808   0.994890   1.007488   0.987495   0.988499
8209.723582   0.993016   0.000806   0.994581   1.007156   0.987514   0.985960
8209.724255   0.996152   0.000816   0.994717   1.007274   0.987534   0.988959
8209.724926   0.993986   0.000814   0.995163   1.007705   0.987554   0.986386
8209.725596   0.995540   0.000816   0.994974   1.007493   0.987574   0.988136
8209.726268   0.993120   0.000822   0.994741   1.007235   0.987595   0.985986
8209.726938   0.993700   0.000822   0.995003   1.007478   0.987617   0.986324
8209.727609   0.995136   0.000831   0.995069   1.007523   0.987640   0.987706
8209.728394   0.995761   0.000831   0.994902   1.007326   0.987667   0.988519
8209.729068   0.996627   0.000840   0.995107   1.007509   0.987691   0.989200
8209.729741   0.993893   0.000838   0.995514   1.007896   0.987715   0.986107
8209.730412   0.995247   0.000847   0.995110   1.007461   0.987740   0.987876
8209.731082   0.997432   0.000849   0.995090   1.007414   0.987766   0.990091
