# time-2450000 flux       flux_err  
7994.20559758 1.00282661 0.00009307
7994.22602990 1.00270958 0.00009307
7994.24646203 1.00286954 0.00009307
7994.26689425 1.00287971 0.00009307
7994.28732657 1.00301645 0.00009307
7994.32819091 1.00305233 0.00009307
7994.34862323 1.00306034 0.00009307
7994.36905535 1.00309103 0.00009307
7994.38948757 1.00317977 0.00009307
7994.40991979 1.00310268 0.00009307
7994.43035201 1.00319487 0.00009307
7994.45078422 1.00330193 0.00009307
7994.47121644 1.00324395 0.00009307
7994.49164866 1.00329333 0.00009307
7994.51208087 1.00341467 0.00009307
7994.55294531 1.00348637 0.00009307
7994.57337752 1.00360493 0.00009307
7994.59380984 1.00371702 0.00009307
7994.61424195 1.00393804 0.00009307
7994.63467416 1.00395820 0.00009307
7994.65510648 1.00395752 0.00009307
7994.67553859 1.00407711 0.00009307
7994.69597090 1.00410133 0.00009307
7994.71640311 1.00420544 0.00009307
7994.73683522 1.00425350 0.00009307
7994.75726754 1.00440118 0.00009307
7994.77769975 1.00451313 0.00009307
7994.79813186 1.00457195 0.00009307
7994.81856416 1.00459873 0.00009307
7994.83899637 1.00471954 0.00009307
7994.85942848 1.00479691 0.00009307
7994.87986079 1.00486462 0.00009307
7994.90029300 1.00488424 0.00009307
7994.92072520 1.00493570 0.00009307
7994.94115741 1.00503528 0.00009307
7994.96158962 1.00505377 0.00009307
7994.98202182 1.00507991 0.00009307
7995.00245413 1.00513851 0.00009307
7995.04331844 1.00545695 0.00009307
7995.06375074 1.00566447 0.00009307
7995.08418285 1.00570223 0.00009307
7995.10461505 1.00573877 0.00009307
7995.12504735 1.00577634 0.00009307
7995.14547945 1.00590247 0.00009307
7995.16591166 1.00594327 0.00009307
7995.18634386 1.00599279 0.00009307
7995.20677606 1.00622805 0.00009307
7995.22720816 1.00628269 0.00009307
7995.24764046 1.00639112 0.00009307
7995.30893706 1.00675233 0.00009307
7995.32936925 1.00693985 0.00009307
7995.34980155 1.00703407 0.00009307
7995.37023375 1.00706847 0.00009307
7995.39066585 1.00715106 0.00009307
7995.41109814 1.00722688 0.00009307
7995.43153034 1.00730452 0.00009307
7995.45196243 1.00731961 0.00009307
7995.47239473 1.00739489 0.00009307
7995.49282692 1.00747378 0.00009307
7995.51325902 1.00766251 0.00009307
7995.53369131 1.00768920 0.00009307
7995.55412350 1.00775695 0.00009307
7995.57455560 1.00778464 0.00009307
7995.59498789 1.00787280 0.00009307
7995.61542008 1.00790959 0.00009307
7995.63585217 1.00793739 0.00009307
7995.65628446 1.00808462 0.00009307
7995.67671665 1.00816668 0.00009307
7995.69714874 1.00815027 0.00009307
7995.71758103 1.00830813 0.00009307
7995.73801322 1.00835766 0.00009307
7995.77887760 1.00876683 0.00009307
7995.79930979 1.00872587 0.00009307
7995.81974197 1.00872273 0.00009307
7995.84017426 1.00879342 0.00009307
7995.86060635 1.00885190 0.00009307
7995.88103853 1.00886433 0.00009307
7995.90147072 1.00898582 0.00009307
7995.92190290 1.00901619 0.00009307
7995.94233519 1.00915377 0.00009307
7995.96276727 1.00928249 0.00009307
7995.98319946 1.00922915 0.00009307
7996.00363174 1.00944210 0.00009307
7996.02406382 1.00940427 0.00009307
7996.04449601 1.00937898 0.00009307
7996.06492829 1.00947888 0.00009307
7996.08536037 1.00950451 0.00009307
7996.10579255 1.00960634 0.00009307
7996.12622483 1.00955418 0.00009307
7996.14665691 1.00952599 0.00009307
7996.16708909 1.00957169 0.00009307
7996.18752137 1.00961739 0.00009307
7996.20795355 1.00965489 0.00009307
7996.22838563 1.00953377 0.00009307
7996.26925008 1.00989069 0.00009307
7996.28968216 1.00984164 0.00009307
7996.31011444 1.00949276 0.00009307
7996.33054661 1.00958077 0.00009307
7996.37141096 1.00932976 0.00009307
7996.39184314 1.00937804 0.00009307
7996.41227541 1.00955253 0.00009307
7996.43270749 1.00959962 0.00009307
7996.45313966 1.00952718 0.00009307
7996.47357193 1.00941343 0.00009307
7996.51443618 1.00929743 0.00009307
7996.53486845 1.00932578 0.00009307
7996.55530052 1.00934083 0.00009307
7996.57573269 1.00931598 0.00009307
7996.59616486 1.00902878 0.00009307
7996.61659703 1.00900676 0.00009307
7996.63702920 1.00900252 0.00009307
7996.65746137 1.00900894 0.00009307
7996.67789354 1.00921545 0.00009307
7996.69832571 1.00906186 0.00009307
7996.71875788 1.00894493 0.00009307
7996.73919004 1.00888498 0.00009307
7996.75962221 1.00871037 0.00009307
7996.78005448 1.00856553 0.00009307
7996.80048654 1.00858078 0.00009307
7996.82091871 1.00841977 0.00009307
7996.84135097 1.00832311 0.00009307
7996.86178304 1.00810336 0.00009307
7996.88221520 1.00805185 0.00009307
7996.90264746 1.00787881 0.00009307
7996.92307953 1.00773079 0.00009307
7996.94351179 1.00769470 0.00009307
7996.96394395 1.00751264 0.00009307
7996.98437602 1.00752574 0.00009307
7997.00480828 1.00748432 0.00009307
7997.02524044 1.00731356 0.00009307
7997.04567260 1.00707027 0.00009307
7997.06610476 1.00690934 0.00009307
7997.08653692 1.00668174 0.00009307
7997.10696908 1.00658311 0.00009307
7997.12740124 1.00637313 0.00009307
7997.14783340 1.00621199 0.00009307
7997.16826555 1.00602261 0.00009307
7997.18869781 1.00590709 0.00009307
7997.20912987 1.00575652 0.00009307
7997.24999428 1.00551652 0.00009307
7997.27042634 1.00539112 0.00009307
7997.29085849 1.00512985 0.00009307
7997.31129065 1.00493218 0.00009307
7997.33172280 1.00481043 0.00009307
7997.35215496 1.00452780 0.00009307
7997.37258711 1.00438132 0.00009307
7997.39301926 1.00422504 0.00009307
7997.41345142 1.00404310 0.00009307
7997.43388357 1.00389002 0.00009307
7997.45431572 1.00372504 0.00009307
7997.49518002 1.00363974 0.00009307
7997.51561217 1.00342745 0.00009307
7997.53604442 1.00333374 0.00009307
7997.55647647 1.00311195 0.00009307
7997.57690862 1.00281067 0.00009307
7997.59734087 1.00261908 0.00009307
7997.61777302 1.00242733 0.00009307
7997.65863732 1.00190329 0.00009307
7997.67906946 1.00175341 0.00009307
7997.69950151 1.00165697 0.00009307
7997.71993376 1.00137832 0.00009307
7997.74036590 1.00120444 0.00009307
7997.76079795 1.00095384 0.00009307
7997.78123019 1.00074319 0.00009307
7997.80166234 1.00049170 0.00009307
7997.82209438 1.00025314 0.00009307
7997.84252662 1.00010900 0.00009307
7997.86295877 0.99987214 0.00009307
7997.88339091 0.99969352 0.00009307
7997.90382305 0.99941419 0.00009307
7997.92425519 0.99927438 0.00009307
7997.94468733 0.99916114 0.00009307
7997.96511948 0.99894950 0.00009307
7997.98555162 0.99875761 0.00009307
7998.00598376 0.99857179 0.00009307
7998.02641590 0.99834940 0.00009307
7998.04684804 0.99820049 0.00009307
7998.06728017 0.99809685 0.00009307
7998.08771231 0.99788401 0.00009307
7998.10814445 0.99764366 0.00009307
7998.12857669 0.99745882 0.00009307
7998.14900873 0.99731459 0.00009307
7998.16944086 0.99710300 0.00009307
7998.18987310 0.99693950 0.00009307
7998.21030513 0.99674748 0.00009307
7998.23073727 0.99657681 0.00009307
7998.25116950 0.99642828 0.00009307
7998.27160154 0.99631093 0.00009307
7998.29203367 0.99608387 0.00009307
7998.31246591 0.99595921 0.00009307
7998.33289794 0.99583913 0.00009307
7998.35333007 0.99575058 0.00009307
7998.37376231 0.99560370 0.00009307
7998.39419434 0.99540403 0.00009307
7998.41462647 0.99540610 0.00009307
7998.43505870 0.99527509 0.00009307
7998.45549083 0.99514899 0.00009307
7998.47592286 0.99512107 0.00009307
7998.49635509 0.99499552 0.00009307
7998.51678722 0.99480612 0.00009307
7998.53721925 0.99472141 0.00009307
7998.55765148 0.99451195 0.00009307
7998.57808361 0.99443026 0.00009307
7998.59851563 0.99426143 0.00009307
7998.61894786 0.99417565 0.00009307
7998.63937999 0.99409633 0.00009307
7998.65981201 0.99408442 0.00009307
7998.68024424 0.99392320 0.00009307
7998.72110859 0.99358310 0.00009307
7998.74154062 0.99349347 0.00009307
7998.76197274 0.99338149 0.00009307
7998.78240496 0.99328206 0.00009307
7998.80283699 0.99315314 0.00009307
7998.82326911 0.99302167 0.00009307
7998.84370123 0.99294027 0.00009307
7998.86413335 0.99278015 0.00009307
7998.88456548 0.99266586 0.00009307
7998.90499760 0.99262668 0.00009307
7998.92542972 0.99255285 0.00009307
7998.94586184 0.99251766 0.00009307
7998.96629406 0.99241427 0.00009307
7998.98672608 0.99242076 0.00009307
7999.00715820 0.99232654 0.00009307
7999.02759042 0.99225440 0.00009307
7999.04802243 0.99213014 0.00009307
7999.06845455 0.99175128 0.00009307
7999.08888677 0.99165940 0.00009307
7999.10931879 0.99163834 0.00009307
7999.12975090 0.99184561 0.00009307
7999.15018312 0.99201286 0.00009307
7999.17061514 0.99191045 0.00009307
7999.21147947 0.99199808 0.00009307
7999.23191148 0.99197964 0.00009307
7999.25234369 0.99195126 0.00009307
7999.27277581 0.99194489 0.00009307
7999.29320792 0.99190231 0.00009307
7999.31364003 0.99184511 0.00009307
7999.33407215 0.99192371 0.00009307
7999.35450426 0.99192953 0.00009307
7999.37493637 0.99194092 0.00009307
7999.39536848 0.99188147 0.00009307
7999.41580059 0.99192525 0.00009307
7999.43623280 0.99203635 0.00009307
7999.45666481 0.99190956 0.00009307
7999.47709692 0.99201572 0.00009307
7999.49752913 0.99203641 0.00009307
7999.51796114 0.99207132 0.00009307
7999.53839325 0.99206338 0.00009307
7999.55882535 0.99203463 0.00009307
7999.57925746 0.99216781 0.00009307
7999.59968957 0.99227507 0.00009307
7999.62012167 0.99221669 0.00009307
7999.64055378 0.99236953 0.00009307
7999.66098589 0.99237199 0.00009307
7999.68141799 0.99245275 0.00009307
7999.70185010 0.99244502 0.00009307
7999.78357851 0.99266406 0.00009307
7999.80401071 0.99281531 0.00009307
7999.82444272 0.99285896 0.00009307
7999.84487492 0.99298669 0.00009307
7999.86530702 0.99305109 0.00009307
7999.88573902 0.99303101 0.00009307
7999.90617122 0.99323966 0.00009307
7999.92660332 0.99328578 0.00009307
7999.94703532 0.99340280 0.00009307
7999.96746752 0.99341653 0.00009307
7999.98789962 0.99358175 0.00009307
8000.00833162 0.99368257 0.00009307
8000.02876382 0.99371728 0.00009307
8000.04919591 0.99381684 0.00009307
8000.06962791 0.99394819 0.00009307
8000.09006011 0.99398074 0.00009307
8000.11049220 0.99413080 0.00009307
8000.13092430 0.99417587 0.00009307
8000.15135639 0.99428781 0.00009307
8000.17178849 0.99442847 0.00009307
8000.19222058 0.99451384 0.00009307
8000.21265268 0.99474678 0.00009307
8000.23308477 0.99475058 0.00009307
8000.25351687 0.99493007 0.00009307
8000.27394896 0.99494093 0.00009307
8000.29438105 0.99506618 0.00009307
8000.31481314 0.99516116 0.00009307
8000.33524524 0.99529672 0.00009307
8000.35567733 0.99542547 0.00009307
8000.37610942 0.99559646 0.00009307
8000.39654151 0.99574829 0.00009307
8000.41697360 0.99585068 0.00009307
8000.43740579 0.99595408 0.00009307
8000.45783778 0.99606757 0.00009307
8000.47826987 0.99626093 0.00009307
8000.49870206 0.99635281 0.00009307
8000.51913404 0.99654395 0.00009307
8000.53956613 0.99659350 0.00009307
8000.55999832 0.99666441 0.00009307
8000.58043031 0.99679718 0.00009307
8000.60086239 0.99703055 0.00009307
8000.62129458 0.99715229 0.00009307
8000.64172666 0.99719057 0.00009307
8000.68259083 0.99747824 0.00009307
8000.70302292 0.99762756 0.00009307
8000.72345490 0.99781503 0.00009307
8000.74388709 0.99793400 0.00009307
8000.76431917 0.99808923 0.00009307
8000.78475115 0.99815665 0.00009307
8000.80518333 0.99835395 0.00009307
8000.82561542 0.99847496 0.00009307
8000.84604740 0.99858078 0.00009307
8000.86647958 0.99872885 0.00009307
8000.88691166 0.99884852 0.00009307
8000.90734364 0.99905636 0.00009307
8000.92777582 0.99918283 0.00009307
8000.94820790 0.99935149 0.00009307
8000.96863998 0.99952158 0.00009307
8000.98907206 0.99977219 0.00009307
8001.00950413 0.99979078 0.00009307
8001.02993631 0.99990389 0.00009307
8001.05036829 0.99999439 0.00009307
8001.07080037 1.00010213 0.00009307
8001.09123244 1.00019668 0.00009307
