8257.575545     	-9622.000000    	1.900000        	7650.800000     	17.400000       	0.689300        	0.006800        	0.477400        	0.002100        	0.171300        	0.000800        
8257.636216     	-9624.400000    	2.000000        	7654.200000     	15.600000       	0.694100        	0.007300        	0.478900        	0.002200        	0.168200        	0.000900        
8257.755000     	-9626.000000    	2.000000        	7663.500000     	21.300000       	0.703400        	0.007900        	0.480200        	0.002100        	0.169300        	0.000900        
8258.564438     	-9659.200000    	1.900000        	7683.500000     	56.600000       	0.712400        	0.006500        	0.495700        	0.002100        	0.169500        	0.000800        
8258.658789     	-9666.300000    	2.200000        	7659.100000     	43.600000       	0.691500        	0.008300        	0.486800        	0.002400        	0.168200        	0.001000        
8259.617947     	-9678.500000    	1.800000        	7605.700000     	74.500000       	0.682000        	0.006300        	0.467100        	0.002000        	0.169500        	0.000800        
8259.736962     	-9677.400000    	1.800000        	7602.500000     	67.800000       	0.700400        	0.007200        	0.482200        	0.002000        	0.169200        	0.000800        
8260.580032     	-9657.300000    	1.600000        	7585.500000     	40.700000       	0.652500        	0.005300        	0.461400        	0.001800        	0.168200        	0.000700        
8260.831406     	-9655.600000    	1.900000        	7585.100000     	46.700000       	0.658500        	0.010100        	0.451000        	0.001800        	0.171400        	0.000800        
8261.660944     	-9659.200000    	1.800000        	7581.000000     	44.900000       	0.644400        	0.006400        	0.452900        	0.001900        	0.167200        	0.000800        
8261.822030     	-9659.200000    	1.800000        	7577.700000     	45.900000       	0.649000        	0.007600        	0.457300        	0.001800        	0.171700        	0.000800        
8270.618653     	-9637.900000    	3.400000        	7633.900000     	29.100000       	0.688700        	0.013100        	0.479500        	0.003700        	0.180400        	0.001500        
8271.630499     	-9665.800000    	1.700000        	7600.900000     	65.700000       	0.658900        	0.005800        	0.471600        	0.001800        	0.166400        	0.000700        
8271.787046     	-9671.400000    	2.900000        	7599.000000     	46.900000       	0.659700        	0.012600        	0.470600        	0.003000        	0.181400        	0.001300        
8272.602935     	-9662.600000    	1.900000        	7572.700000     	45.500000       	0.657100        	0.007000        	0.463700        	0.002100        	0.168800        	0.000900        
8272.755651     	-9658.600000    	1.900000        	7579.200000     	41.900000       	0.622500        	0.008000        	0.464100        	0.002000        	0.169900        	0.000800        
8273.567465     	-9661.800000    	1.700000        	7589.400000     	48.600000       	0.639300        	0.005600        	0.450600        	0.001900        	0.168100        	0.000800        
8273.678920     	-9667.500000    	2.000000        	7588.400000     	50.100000       	0.627000        	0.007600        	0.451400        	0.002100        	0.167200        	0.000900        
8273.772319     	-9664.800000    	2.100000        	7583.000000     	43.700000       	0.606300        	0.009800        	0.445400        	0.002000        	0.166600        	0.000900        
8274.537063     	-9660.700000    	2.000000        	7558.700000     	63.800000       	0.625600        	0.007400        	0.444200        	0.002200        	0.166100        	0.000900        
8274.677995     	-9654.900000    	2.400000        	7563.000000     	55.800000       	0.617200        	0.010000        	0.449200        	0.002600        	0.168600        	0.001100        
8275.545245     	-9629.300000    	2.500000        	7579.300000     	3.500000        	0.635600        	0.009200        	0.453600        	0.002800        	0.173700        	0.001200        
8275.716848     	-9624.200000    	2.700000        	7582.200000     	12.000000       	0.661100        	0.010800        	0.456300        	0.002900        	0.174100        	0.001200        
8276.575092     	-9614.900000    	1.900000        	7649.600000     	-2.000000       	0.689200        	0.006800        	0.472300        	0.002100        	0.170400        	0.000800        
8276.794679     	-9624.100000    	2.300000        	7658.400000     	8.300000        	0.681000        	0.011600        	0.473000        	0.002200        	0.173500        	0.000900        
8277.545854     	-9656.400000    	1.700000        	7674.600000     	36.100000       	0.699000        	0.005800        	0.481700        	0.001900        	0.171400        	0.000800        
8277.763450     	-9660.600000    	2.500000        	7673.500000     	62.400000       	0.707300        	0.011400        	0.491900        	0.002500        	0.175500        	0.001000        
8278.628647     	-9667.100000    	1.600000        	7611.000000     	50.700000       	0.685400        	0.006500        	0.477900        	0.001700        	0.168100        	0.000700        
8278.796372     	-9666.100000    	3.200000        	7608.200000     	55.600000       	0.650500        	0.022400        	0.481400        	0.002800        	0.178000        	0.001200        
8282.603904     	-9657.000000    	1.500000        	7602.300000     	48.200000       	0.642200        	0.005000        	0.455200        	0.001500        	0.163700        	0.000600        
8282.706654     	-9659.900000    	1.900000        	7587.500000     	43.200000       	0.626900        	0.007700        	0.452500        	0.001800        	0.165000        	0.000800        
8284.558695     	-9654.300000    	1.500000        	7546.100000     	47.400000       	0.617500        	0.004600        	0.445800        	0.001600        	0.165000        	0.000600        
8284.666549     	-9650.000000    	1.700000        	7542.400000     	44.200000       	0.622700        	0.006100        	0.444900        	0.001700        	0.166300        	0.000700        
8286.601324     	-9617.200000    	2.000000        	7649.600000     	3.300000        	0.674000        	0.007700        	0.478200        	0.002200        	0.164700        	0.000900        
8286.671100     	-9620.900000    	2.000000        	7650.900000     	5.100000        	0.665100        	0.008100        	0.470000        	0.002200        	0.164700        	0.000900        
8287.563102     	-9642.100000    	2.300000        	7670.600000     	42.800000       	0.694300        	0.008300        	0.489400        	0.002600        	0.168300        	0.001000        
8287.709899     	-9651.500000    	2.100000        	7669.400000     	52.500000       	0.684000        	0.008500        	0.486600        	0.002300        	0.165300        	0.000900        
8288.538489     	-9653.600000    	1.400000        	7617.200000     	53.900000       	0.704300        	0.004600        	0.491300        	0.001600        	0.165700        	0.000600        
8288.690252     	-9647.700000    	1.700000        	7619.800000     	48.600000       	0.696700        	0.007200        	0.482600        	0.001700        	0.165900        	0.000700        
