# time-2457000 flux       flux_err  
1327.31399694 1.00499785 0.00280197
1327.31538585 1.00108147 0.00279849
1327.31677476 0.99800205 0.00279606
1327.31816367 0.99661785 0.00279422
1327.31955257 0.99764228 0.00279432
1327.32094148 0.99586433 0.00279395
1327.32233039 0.99984384 0.00279298
1327.32371930 0.99918252 0.00279313
1327.32510821 1.00046968 0.00279331
1327.32649711 1.00201154 0.00279278
1327.32788602 1.00046289 0.00279023
1327.32927493 0.99692053 0.00278853
1327.33066384 0.99899608 0.00278783
1327.33205274 1.00057650 0.00278893
1327.33344165 1.00037277 0.00278679
1327.33483056 1.00106382 0.00278790
1327.33621947 1.00178111 0.00278435
1327.33760837 1.00087619 0.00278604
1327.33899728 0.99825114 0.00278531
1327.34038619 0.99892235 0.00278408
1327.34177510 1.00319457 0.00278765
1327.34316400 1.00185096 0.00278563
1327.34455291 1.00284564 0.00278432
1327.34594182 0.99984246 0.00278298
1327.34733073 1.00046766 0.00278195
1327.34871963 0.99825060 0.00277961
1327.35010854 0.99871039 0.00277945
1327.35149745 0.99685431 0.00277747
1327.35288636 1.00172567 0.00277959
1327.35427527 0.99867707 0.00278004
1327.35566417 0.99620372 0.00277575
1327.35705308 0.99579173 0.00277636
1327.35844199 1.00033665 0.00277566
1327.35983090 0.99953884 0.00277554
1327.36121980 0.99956495 0.00277410
1327.36260871 1.00445783 0.00277987
1327.36399762 0.99919772 0.00277479
1327.36538653 1.00119531 0.00277469
1327.36677543 1.00246179 0.00277889
1327.36816434 0.99940926 0.00277428
1327.36955325 0.99891615 0.00277485
1327.37094216 0.99595129 0.00277164
1327.37233106 1.00296330 0.00277369
1327.37371997 0.99984181 0.00277418
1327.37510888 1.00136876 0.00277266
1327.37649779 1.00095272 0.00277170
1327.37788669 1.00040019 0.00276946
1327.37927560 1.00268638 0.00277091
1327.38066451 1.00139773 0.00277076
1327.38205342 0.99687648 0.00276684
1327.38344233 0.99865872 0.00276978
1327.38483123 0.99836719 0.00277001
1327.38622014 0.99709678 0.00276824
1327.38760905 1.00055993 0.00276596
1327.38899796 1.00169301 0.00276911
1327.39038686 0.99777508 0.00276621
1327.39177577 0.99733233 0.00276306
1327.39316468 0.99939907 0.00276324
1327.39455359 1.00000966 0.00276325
1327.39594249 0.99987245 0.00276372
1327.39733140 1.00032687 0.00276415
1327.39872031 1.00153649 0.00276273
1327.40010922 1.00015664 0.00276331
1327.40149812 1.00293410 0.00276408
1327.40288703 0.99510914 0.00276034
1327.40427594 0.99863863 0.00276276
1327.40566485 1.00412202 0.00276565
1327.40705375 1.00126886 0.00276046
1327.40844266 0.99441576 0.00276241
1327.40983157 1.00198746 0.00276233
1327.41122048 1.00541270 0.00276477
1327.41260938 1.00047565 0.00276294
1327.41399829 1.00026274 0.00276219
1327.41538720 1.00453806 0.00276263
1327.41677611 1.00069809 0.00276049
1327.41816502 0.99866706 0.00275918
1327.41955392 0.99946654 0.00276080
1327.42094283 1.00140309 0.00275956
1327.42233174 1.00035584 0.00275881
1327.42372065 0.99886519 0.00275794
1327.42510955 0.99999100 0.00275760
1327.42649846 1.00081038 0.00275822
1327.42788737 1.00357902 0.00275924
1327.42927628 1.00250411 0.00275821
1327.43066518 0.99795455 0.00275604
1327.43205409 1.00175726 0.00276010
1327.43344300 1.00181878 0.00275941
1327.43483191 1.00133908 0.00275802
1327.43622081 1.00012565 0.00275772
1327.43760972 0.99989271 0.00275646
1327.43899863 0.99656498 0.00275480
1327.44038754 0.99885917 0.00275502
1327.44177644 1.00183547 0.00275692
1327.44316535 1.00190985 0.00275831
1327.44455426 1.00147033 0.00275726
1327.44594317 1.00287926 0.00275808
1327.44733207 0.99774253 0.00275766
1327.44872098 0.99643123 0.00275500
1327.45010989 1.00486386 0.00275983
1327.45149880 1.00140989 0.00275687
1327.45288771 0.99590737 0.00275351
1327.45427661 1.00396514 0.00275683
1327.45566552 1.00169301 0.00275816
