# time-2457000 flux       flux_err  
1385.94921039 0.99772537 0.00232691
1385.95059929 0.99933648 0.00232832
1385.95198818 0.99927032 0.00232633
1385.95337708 0.99785846 0.00232539
1385.95476597 0.99851143 0.00232487
1385.95615487 0.99616873 0.00232617
1385.95754376 0.99630916 0.00232447
1385.95893266 0.99628747 0.00232549
1385.96032155 0.99614519 0.00232496
1385.96171045 0.99801719 0.00232540
1385.96309935 0.99561036 0.00232739
1385.96448824 0.99435735 0.00232169
1385.96587714 0.99874663 0.00232577
1385.96726603 0.99374580 0.00232286
1385.96865493 1.00004554 0.00232722
1385.97004382 0.99634540 0.00232602
1385.97143272 0.99910504 0.00232654
1385.97282161 0.99720591 0.00232537
1385.97421051 0.99958587 0.00232809
1385.97559940 0.99645174 0.00232269
1385.97698830 0.99804467 0.00232508
1385.97837719 0.99583316 0.00232462
1385.97976609 0.99559486 0.00232344
1385.98115499 1.00016463 0.00232752
1385.98254388 1.00081706 0.00232677
1385.98393278 0.99621689 0.00232321
1385.98532167 0.99850798 0.00232498
1385.98671057 1.00029695 0.00232657
1385.98809946 0.99906969 0.00232705
1385.98948836 0.99719179 0.00232604
1385.99087725 0.99347299 0.00232645
1385.99226615 0.99796689 0.00232545
1385.99365504 0.99954271 0.00232701
1385.99504394 1.00018632 0.00232708
1385.99643283 0.99283636 0.00232162
1385.99782173 0.99759710 0.00232480
1385.99921062 1.00055552 0.00232708
1386.00059952 0.99958134 0.00232553
1386.00198842 0.99931622 0.00232566
1386.00337731 1.00176346 0.00232615
1386.00476621 0.99924850 0.00232674
1386.00615510 1.00102079 0.00232686
1386.00754400 0.99685186 0.00232612
1386.00893289 0.99728054 0.00232319
1386.01032179 1.00007522 0.00232540
1386.01171068 0.99883848 0.00232419
1386.01309958 0.99855536 0.00232572
1386.01448847 1.00130022 0.00232722
1386.01587737 1.00327623 0.00232947
1386.01726626 0.99997336 0.00232690
1386.01865516 0.99564970 0.00232438
1386.02004406 1.00095475 0.00232693
1386.02143295 1.00097668 0.00232689
1386.02282185 0.99945843 0.00232741
1386.02421074 1.00204062 0.00232772
1386.02559964 0.99750644 0.00232300
1386.02698853 0.99825919 0.00232446
1386.02837743 0.99888748 0.00232693
1386.02976632 1.00153089 0.00232647
1386.03115522 1.00216556 0.00232953
1386.03254411 1.00264764 0.00232672
1386.03393301 0.99519217 0.00232289
1386.03532190 1.00234616 0.00232740
1386.03671080 1.00146329 0.00232566
1386.03809969 0.99897689 0.00232622
1386.03948859 1.00413620 0.00233078
1386.04087749 0.99644268 0.00232334
1386.04226638 0.99882776 0.00232460
1386.04365528 0.99720156 0.00232409
1386.04504417 0.99674273 0.00232391
1386.04643307 0.99937254 0.00232544
1386.04782196 0.99962354 0.00232443
1386.04921086 1.00166404 0.00232676
1386.05059975 1.00332928 0.00233244
1386.05198865 1.00007963 0.00232594
1386.05337754 0.99891168 0.00232643
1386.05476644 0.99341422 0.00232838
1386.05615533 0.99598891 0.00232413
1386.05754423 0.99989164 0.00232625
1386.05893312 0.99647814 0.00232339
1386.06032202 1.00020671 0.00232853
1386.06171092 1.00017452 0.00232753
1386.06309981 0.99747056 0.00232475
1386.06448871 0.99567986 0.00232274
1386.06587760 1.00060523 0.00233025
1386.06726650 0.99834269 0.00232568
1386.06865539 0.99479586 0.00232793
1386.07004429 0.99824709 0.00232468
1386.07143318 0.99934787 0.00232619
1386.07282208 0.99803001 0.00232403
1386.07421097 0.99446738 0.00232322
1386.07559987 1.00113368 0.00232798
1386.07698876 0.99791133 0.00232497
1386.07837766 0.99733675 0.00232299
1386.07976655 1.00001717 0.00233018
1386.08115545 0.99751836 0.00232439
1386.08254435 0.99606025 0.00232391
1386.08393324 0.99866807 0.00232476
1386.08532214 1.00018632 0.00232758
1386.08671103 0.99595696 0.00232343
1386.08809993 0.99581182 0.00232622
1386.08948882 0.99862087 0.00232619
1386.09087772 0.99666017 0.00232523
1386.09226661 0.99896443 0.00232809
1386.09365551 0.99935877 0.00232813
1386.09504440 0.99814141 0.00232574
1386.09643330 1.00259137 0.00232798
1386.09782219 0.99704498 0.00232502
1386.09921109 1.00029266 0.00232664
1386.10059998 0.99881488 0.00232414
1386.10198888 0.99661887 0.00232502
1386.10337778 0.99614167 0.00232360
1386.10476667 1.00050843 0.00232854
1386.10615557 0.99781579 0.00232420
1386.10754446 0.99731898 0.00232331
1386.10893336 0.99632263 0.00232370
1386.11032225 1.00182688 0.00232806
1386.11171115 0.99826813 0.00232430
1386.11310004 0.99863589 0.00232471
1386.11448894 1.00341463 0.00232998
1386.11587783 0.99713773 0.00232931
1386.11726673 0.99710792 0.00232782
1386.11865562 0.99819666 0.00232623
1386.12004452 0.99961829 0.00232518
1386.12143341 0.99970418 0.00232689
1386.12282231 0.99850702 0.00232699
1386.12421120 0.99679875 0.00232529
1386.12560010 0.99786192 0.00232840
1386.12698900 0.99908173 0.00232565
1386.12837789 1.00088799 0.00232614
1386.12976679 0.99423361 0.00232175
1386.13115568 0.99721712 0.00232374
1386.13254458 0.99769425 0.00232704
