# time-2457000 flux       flux_err  
1468.53626564 1.00260425 0.00226218
1468.53765451 0.99746835 0.00226054
1468.53904338 0.99657971 0.00226206
1468.54043226 1.00460339 0.00226659
1468.54182113 1.00149107 0.00226075
1468.54321000 1.00185549 0.00226336
1468.54459888 0.99602395 0.00226079
1468.54598775 0.99939340 0.00226248
1468.54737662 0.99689394 0.00225930
1468.54876550 1.00146377 0.00226337
1468.55015437 0.99874216 0.00226281
1468.55154324 1.00332403 0.00226332
1468.55293212 0.99918610 0.00226134
1468.55432099 1.00197172 0.00226413
1468.55570986 1.00167036 0.00226444
1468.55709874 0.99863869 0.00226271
1468.55848761 0.99736726 0.00226056
1468.55987648 0.99562931 0.00225866
1468.56126536 0.99950355 0.00226167
1468.56265423 0.99805665 0.00226060
1468.56404310 1.00015938 0.00226239
1468.56543198 0.99935025 0.00226085
1468.56682085 1.00392902 0.00226796
1468.56820972 0.99764210 0.00225864
1468.56959860 1.00010669 0.00226332
1468.57098747 0.99736214 0.00225838
1468.57237634 1.00002372 0.00226267
1468.57376522 1.00263977 0.00226354
1468.57515409 1.00207293 0.00226113
1468.57654296 1.00327170 0.00226450
1468.57793184 0.99757779 0.00226094
1468.57932071 1.00010455 0.00226221
1468.58070958 1.00277436 0.00226703
1468.58209846 0.99880517 0.00226263
1468.58348733 1.00025105 0.00226257
1468.58487620 1.00363374 0.00226560
1468.58626508 1.00251567 0.00226280
1468.58765395 1.00066018 0.00226360
1468.58904282 0.99501878 0.00225914
1468.59043170 0.99852180 0.00226169
1468.59182057 1.00274670 0.00226477
1468.59320944 0.99977595 0.00226168
1468.59459832 1.00058258 0.00226085
1468.59598719 1.00104558 0.00226341
1468.59737606 0.99830776 0.00226126
1468.59876494 0.99957156 0.00226202
1468.60015381 0.99756753 0.00225999
1468.60154268 1.00137508 0.00226206
1468.60293156 0.99801183 0.00225973
1468.60432043 1.00197101 0.00226343
1468.60570930 1.00143361 0.00226326
1468.60709818 0.99691314 0.00226210
1468.60848705 0.99443835 0.00225719
1468.60987592 1.00297248 0.00226086
1468.61126480 0.99990404 0.00226020
1468.61265367 1.00334716 0.00226300
1468.61404254 1.00612032 0.00226697
1468.61543142 1.00223863 0.00226246
1468.61682029 1.00245416 0.00226470
1468.61820916 0.99825203 0.00226105
1468.61959804 1.00057185 0.00226108
1468.62098691 1.00008953 0.00226003
1468.62237578 1.00013494 0.00226222
1468.62376466 1.00159490 0.00226307
1468.62515353 1.00168121 0.00226209
1468.62654240 0.99996823 0.00226268
1468.62793128 1.00259697 0.00226650
1468.62932015 1.00045681 0.00226345
1468.63070902 0.99784702 0.00225996
1468.63209790 0.99922448 0.00226114
1468.63348677 1.00169969 0.00226363
1468.63487564 0.99952590 0.00226174
1468.63626452 0.99816066 0.00226298
1468.63765339 0.99874085 0.00226006
1468.63904226 1.00231719 0.00226454
1468.64043114 0.99753255 0.00225999
1468.64182001 1.00125360 0.00226154
1468.64320888 0.99907589 0.00226135
1468.64459776 1.00300670 0.00226364
1468.64598663 1.00129378 0.00226452
1468.64737550 1.00325227 0.00226304
1468.64876438 1.00197959 0.00226251
1468.65015325 1.00434875 0.00226473
1468.65154212 1.00305009 0.00226395
1468.65293100 0.99837852 0.00225958
1468.65431987 1.00739503 0.00226719
1468.65570874 1.00131941 0.00226240
1468.65709762 1.00169480 0.00226390
1468.65848649 0.99970651 0.00226156
1468.65987536 1.00427258 0.00226513
1468.66126424 0.99979109 0.00226271
1468.66265311 1.00251126 0.00226424
1468.66404198 0.99993050 0.00226166
