# time-2457000 flux       flux_err  
1354.10872523 0.99567729 0.00231858
1354.11011413 0.99964100 0.00232187
1354.11150303 0.99825531 0.00232074
1354.11428083 1.00176549 0.00232087
1354.11566974 0.99936444 0.00232204
1354.11705864 0.99973410 0.00232025
1354.11844754 0.99796134 0.00232277
1354.11983644 1.00259745 0.00232546
1354.12122534 0.99875617 0.00232206
1354.12261425 1.00022626 0.00232075
1354.12400315 0.99739248 0.00231968
1354.12539205 1.00407648 0.00232320
1354.12678095 0.99784154 0.00231954
1354.12816985 1.00267792 0.00232354
1354.12955876 1.00064588 0.00232233
1354.13094766 1.00202644 0.00232376
1354.13233656 0.99793452 0.00231994
1354.13372546 0.99867558 0.00232208
1354.13511436 0.99899089 0.00232091
1354.13650327 1.00251555 0.00232608
1354.13789217 0.99738187 0.00232118
1354.13928107 1.00171769 0.00232409
1354.14066997 0.99898106 0.00232201
1354.14205887 1.00059247 0.00232322
1354.14344777 0.99824125 0.00232132
1354.14483668 0.99859667 0.00232171
1354.14622558 1.00159907 0.00232350
1354.14761448 0.99919522 0.00232186
1354.14900338 0.99921936 0.00232071
1354.15039229 1.00115824 0.00232362
1354.15178119 1.00294018 0.00232460
1354.15317009 0.99720109 0.00232018
1354.15455899 1.00333047 0.00232299
1354.15594789 1.00039864 0.00232321
1354.15733680 0.99929851 0.00232112
1354.15872570 1.00257123 0.00232249
1354.16011460 0.99858248 0.00232007
1354.16150350 0.99642199 0.00232146
1354.16289240 1.00241351 0.00232340
1354.16428131 0.99959284 0.00232377
1354.16567021 0.99832273 0.00231968
1354.16705911 1.00179696 0.00232321
1354.16844801 1.00283396 0.00232317
1354.16983691 0.99690813 0.00231902
1354.17122582 0.99851370 0.00232146
1354.17261472 0.99999356 0.00232040
1354.17400362 0.99644595 0.00232200
1354.17539252 1.00003099 0.00232435
1354.17678142 1.00158370 0.00232202
1354.17817033 0.99746621 0.00231974
1354.17955923 1.00391877 0.00232690
1354.18094813 1.00116193 0.00232558
1354.18233703 1.00089324 0.00232408
1354.18372593 1.00139999 0.00232429
1354.18511484 1.00000799 0.00232002
1354.18650374 1.00094187 0.00232407
1354.18789264 1.00019777 0.00232385
1354.18928154 0.99879307 0.00232041
1354.19067045 0.99794054 0.00232192
1354.19205935 1.00223124 0.00232156
1354.19344825 1.00139749 0.00232361
1354.19483715 1.00284922 0.00232319
1354.19622605 1.00095892 0.00232300
1354.19761496 1.00378001 0.00232371
1354.19900386 1.00030601 0.00232057
1354.20039276 1.00578082 0.00232652
1354.20178166 1.00018442 0.00232286
1354.20317057 1.00172722 0.00232154
1354.20455947 0.99905258 0.00232075
1354.20594837 1.00328279 0.00232486
1354.20733727 1.00150323 0.00232097
1354.20872617 1.00203335 0.00232226
1354.21011508 1.00299668 0.00232225
1354.21150398 0.99952275 0.00232169
1354.21289288 1.00129199 0.00232303
1354.21428178 0.99948597 0.00231987
1354.21567069 0.99744707 0.00231898
1354.21705959 0.99645680 0.00231770
1354.21844849 1.00084007 0.00232208
1354.21983739 0.99729860 0.00232216
1354.22122629 1.00161970 0.00232429
1354.22261520 0.99975318 0.00232320
1354.22400410 0.99865150 0.00232029
1354.22539300 0.99906701 0.00231968
1354.22678190 0.99690753 0.00231912
1354.22817081 0.99785638 0.00232254
1354.22955971 1.00014186 0.00232173
1354.23094861 0.99638420 0.00231995
1354.23233751 1.00023580 0.00232217
1354.23372641 1.00214338 0.00232188
1354.23511532 1.00085199 0.00232107
1354.23650422 1.00690091 0.00232508
1354.23789312 0.99733770 0.00231854
1354.23928202 0.99875081 0.00232099
1354.24067093 1.00305724 0.00232191
1354.24205983 0.99933678 0.00232027
1354.24344873 0.99874133 0.00232003
1354.24483763 1.00253177 0.00232400
1354.24622654 1.00041151 0.00232177
1354.24761544 0.99769908 0.00232119
1354.24900434 1.00369251 0.00232332
1354.25039324 0.99892598 0.00232010
1354.25178214 1.00089085 0.00232117
1354.25317105 1.00528228 0.00232651
1354.25455995 0.99658340 0.00231871
1354.25594885 0.99989766 0.00232224
1354.25733775 1.00120020 0.00232073
1354.25872666 1.00189674 0.00232272
1354.26011556 0.99902034 0.00232123
1354.26150446 0.99768585 0.00232165
1354.26289336 1.00181544 0.00232380
1354.26428227 1.00511670 0.00232472
1354.26567117 0.99789494 0.00231836
1354.26706007 0.99813867 0.00232004
1354.26844897 0.99997163 0.00231985
1354.26983788 1.00148606 0.00232124
1354.27122678 0.99629629 0.00231893
1354.27261568 0.99478000 0.00231849
1354.27400458 0.99889624 0.00231768
1354.27539349 0.99809504 0.00231907
1354.27678239 0.99971288 0.00232157
1354.27817129 1.00173068 0.00232227
1354.27956019 1.00165462 0.00232202
1354.28094909 1.00151730 0.00232039
1354.28233800 0.99416542 0.00231544
1354.28372690 0.99932849 0.00232129
1354.28511580 1.00312030 0.00232523
1354.28650470 0.99960798 0.00232046
1354.28789361 0.99983591 0.00231979
1354.28928251 0.99931782 0.00232029
1354.29067141 0.99522644 0.00231919
1354.29206031 0.99594706 0.00231968
1354.29344922 0.99974906 0.00232124
1354.29483812 1.00118458 0.00232180
1354.29622702 1.00141311 0.00232279
1354.29761592 0.99850649 0.00232227
1354.29900483 1.00025880 0.00232015
1354.30039373 0.99967039 0.00231969
