# time-2457000 flux       flux_err  
1410.90338594 0.99605852 0.00234030
1410.90477483 1.00097406 0.00234212
1410.90616372 0.99718755 0.00233891
1410.90755260 0.99753505 0.00233979
1410.90894149 0.99860597 0.00234163
1410.91033038 0.99353749 0.00233896
1410.91171926 1.00324953 0.00234692
1410.91310815 0.99825269 0.00234248
1410.91449704 0.99649680 0.00233992
1410.91588592 1.00027776 0.00234201
1410.91727481 0.99744195 0.00233880
1410.91866370 0.99682206 0.00233904
1410.92005258 0.99815869 0.00234011
1410.92144147 0.99870473 0.00234181
1410.92283036 1.00100696 0.00234324
1410.92421924 0.99702394 0.00234159
1410.92560813 0.99864930 0.00234104
1410.92699702 0.99635154 0.00233945
1410.92838590 0.99515444 0.00234008
1410.92977479 0.99380505 0.00234110
1410.93116368 1.00260139 0.00234416
1410.93255256 0.99673158 0.00233857
1410.93394145 0.99728936 0.00234295
1410.93533034 1.00093579 0.00234212
1410.93671922 1.00033891 0.00234302
1410.93810811 0.99887228 0.00234464
1410.93949700 0.99564809 0.00234019
1410.94088588 0.99527001 0.00234098
1410.94227477 0.99821502 0.00233859
1410.94366366 0.99781138 0.00234186
1410.94505254 0.99981195 0.00234161
1410.94644143 1.00218034 0.00234294
1410.94783032 0.99790162 0.00234038
1410.94921920 1.00087857 0.00234342
1410.95060809 0.99843359 0.00234006
1410.95199698 0.99886513 0.00234202
1410.95338586 0.99533820 0.00234092
1410.95477475 0.99903148 0.00234056
1410.95616364 0.99746174 0.00234095
1410.95755252 1.00107229 0.00234257
1410.95894141 0.99949813 0.00234095
1410.96171918 0.99708915 0.00234152
1410.96310807 0.99440259 0.00233681
1410.96449696 0.99757457 0.00234032
1410.96588584 0.99819410 0.00234142
1410.98116360 0.99592376 0.00233917
1410.98255249 0.99917769 0.00234073
1410.98394137 0.99489266 0.00233796
1410.98533026 0.99688053 0.00233938
1410.98671915 1.00306630 0.00234356
1410.98810803 0.99860340 0.00233602
1410.98949692 1.00094664 0.00234127
1410.99088581 1.00043774 0.00234154
1410.99227469 0.99746138 0.00233778
1410.99366358 0.99793065 0.00234149
1411.00199690 0.99572396 0.00233757
1411.00338579 0.99914867 0.00234222
