# time-2457000 flux       flux_err  
1438.33240959 1.00256526 0.00238120
1438.33379847 1.00149596 0.00237929
1438.33518735 1.00359035 0.00237585
1438.33657623 0.99849826 0.00237078
1438.33796511 1.00332046 0.00236992
1438.33935399 1.00028396 0.00236577
1438.34074287 1.00153375 0.00236190
1438.34213175 0.99973166 0.00235880
1438.34352063 0.99830621 0.00235886
1438.34490950 0.99756175 0.00235005
1438.34629838 1.00336337 0.00234981
1438.34768726 1.00051653 0.00234595
1438.34907614 1.00206137 0.00234512
1438.35046502 1.00039589 0.00233976
1438.35185390 0.99998736 0.00233830
1438.35324278 1.00613856 0.00233667
1438.35463166 1.00259185 0.00233517
1438.35602053 1.00498736 0.00233355
1438.35740941 1.00260448 0.00232877
1438.35879829 1.00090599 0.00232758
1438.36018717 1.00444126 0.00232543
1438.36157605 1.00197601 0.00232348
1438.36296493 0.99768651 0.00231773
1438.36435381 1.00392687 0.00231764
1438.36713156 1.00311661 0.00231195
1438.36852044 1.00238419 0.00230888
1438.36990932 1.00247157 0.00230692
1438.37129820 1.00148296 0.00230671
1438.37268708 1.00366616 0.00230305
1438.37407596 1.00300193 0.00230300
1438.37546484 1.00059628 0.00229951
1438.37685372 0.99790686 0.00229584
1438.37824260 0.99950242 0.00229419
1438.37963147 0.99886036 0.00229273
1438.38102035 1.00087094 0.00229403
1438.38240923 1.00244093 0.00229429
1438.38379811 0.99637783 0.00228833
1438.38518699 1.00206149 0.00229303
1438.38657587 1.00286567 0.00228996
1438.38796475 0.99975580 0.00228669
1438.38935363 0.99887168 0.00228745
1438.39074251 1.00213206 0.00228866
1438.39213138 0.99812406 0.00228515
1438.39352026 0.99910182 0.00228521
1438.39490914 0.99870694 0.00228486
1438.39629802 0.99862933 0.00228382
1438.39768690 1.00065112 0.00228613
1438.39907578 1.00031948 0.00228415
1438.40046466 0.99939442 0.00228077
1438.40185354 1.00315368 0.00228303
1438.40324242 1.00109673 0.00228287
1438.40463129 1.00331128 0.00228730
1438.40602017 1.00336945 0.00228210
1438.40740905 0.99828881 0.00227987
1438.40879793 0.99863821 0.00227906
1438.41157569 0.99989176 0.00227870
1438.41296457 1.00065029 0.00228144
1438.41435345 1.00177908 0.00227884
