# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2425.79805017 0.99979224 0.00013183 0.58650529 -1.00000000 82.20556113 0.07491949 0.52933143 -0.16156006
2425.79846770 0.99972014 0.00013183 -0.23176524 0.20540278 80.52339990 0.07478079 0.64238267 -0.17129517
2425.79888522 0.99972880 0.00013183 -0.23007353 -0.17078364 78.85245692 0.07391269 0.49302228 -0.19079590
2425.79930276 0.99943634 0.00013181 0.34673694 0.24482843 77.19047479 0.07284669 0.70187182 -0.17129517
2425.79972028 0.99958783 0.00013182 0.57772142 -0.34734729 75.53541415 0.07301552 0.56476958 -0.19079590
2425.80013781 0.99980967 0.00013183 0.47117573 0.26855683 73.88508478 0.06312545 0.52152554 -0.19079590
2425.80055533 0.99961767 0.00013181 0.38073394 0.52506691 72.23752940 0.06025868 0.53278963 -0.19079590
2425.80097286 0.99994888 0.00013183 0.09073459 -0.57526159 70.59071844 0.04848280 0.65690331 -0.19079590
2425.80139039 0.99977132 0.00013182 -0.00325330 0.24671453 68.94223937 0.04801979 0.63638818 -0.19079590
2425.80180791 0.99999987 0.00013183 -0.07420782 -0.06315405 67.29073796 0.04332902 0.50046798 -0.19079590
2425.80222543 0.99965075 0.00013181 -0.00162665 -0.10458749 65.63298465 0.04681374 0.58141270 -0.21023560
2425.80264296 0.99988304 0.00013183 0.00771033 0.23302507 63.96755225 0.04333462 0.72054468 -0.21023560
2425.80306048 1.00002684 0.00013183 0.09782679 -0.30281091 62.29258410 0.04090626 0.63753162 -0.19079590
2425.80347801 0.99984124 0.00013182 0.20700762 0.27695304 60.60579199 0.03774600 0.75029308 -0.18106079
2425.80389553 1.00009184 0.00013183 0.06708309 -0.12928936 58.90440113 0.03575033 0.63414632 -0.19079590
2425.80431306 1.00000325 0.00013183 -0.19825622 0.18946216 57.18701120 0.03112786 0.65828887 -0.19079590
2425.80473058 0.99991366 0.00013182 0.58422798 -0.01040399 55.45118797 0.02966224 0.59657460 -0.19079590
2425.80514811 0.99969840 0.00013181 0.31147113 0.06546605 53.69485103 0.02411509 0.71481198 -0.20050049
2425.80556563 0.99993264 0.00013182 0.08692823 0.28577513 51.91527879 0.02331446 0.74313642 -0.19079590
2425.80598316 1.00013095 0.00013183 0.63231182 0.14005841 50.11097218 0.01901942 0.73168145 -0.19079590
2425.80640068 0.99992429 0.00013181 -0.31293514 -0.27494523 48.27906192 0.01346333 0.61331722 -0.19079590
2425.80681821 0.99998515 0.00013182 0.03799857 -0.24920905 46.41752744 0.01153438 0.75479637 -0.17129517
2425.80723573 0.99999175 0.00013182 0.14236450 0.38482600 44.52396873 0.01161827 0.81521059 -0.15179443
2425.80765326 1.00025907 0.00013183 0.40214068 0.06455342 42.59649734 0.00475853 0.74839763 -0.17129517
2425.80807078 1.00010800 0.00013182 -0.11578503 -0.43836701 40.63254809 0.00892196 0.63660458 -0.19079590
2425.80848831 0.99990063 0.00013182 0.00875138 -0.01521051 38.62986606 0.01217641 0.80705866 -0.17129517
2425.80890584 1.00070551 0.00013187 0.32058039 0.13598199 36.58672383 0.01256829 0.85983790 -0.19079590
2425.80932336 1.00015939 0.00013183 0.24477845 0.32039425 34.50074936 0.00520294 0.79824709 -0.19079590
2425.80974089 0.99997915 0.00013182 0.39293382 0.01733999 32.37010824 0.00800813 0.78233472 -0.19079590
2425.81015841 0.99999396 0.00013182 0.82363850 0.19998783 30.19307564 0.00599731 0.85136666 -0.19079590
2425.81057594 1.00041688 0.00013185 -0.09024660 0.00279873 27.96784514 0.00636644 0.81837424 -0.17129517
2425.81099346 1.00025731 0.00013183 0.33479732 0.09959844 25.69356324 0.00745799 0.70214202 -0.19079590
2425.81141099 1.00023011 0.00013184 -0.00367623 0.16634217 23.36814764 0.00372907 0.88051127 -0.19079590
2425.81182852 1.00043558 0.00013185 0.06542391 0.16372597 20.99164311 0.00158110 0.91993553 -0.19079590
2425.81224604 1.00018483 0.00013183 -0.10244648 -0.01247262 18.56354779 0.00345342 0.79767985 -0.17129517
2425.81266357 1.00034188 0.00013184 -0.16933438 0.02792650 16.08344220 0.00538994 0.68773722 -0.19079590
2425.81308109 1.00028705 0.00013184 0.49824321 0.11766853 13.55188583 0.00594494 0.87579849 -0.17129517
2425.81349862 1.00005350 0.00013182 -0.27021927 0.16999270 10.97002489 0.00995342 0.76425071 -0.19079590
2425.81391614 0.99987620 0.00013181 0.37975794 0.14200535 8.33916636 0.00696946 0.84400489 -0.17129517
2425.81433367 1.00024182 0.00013184 0.43174571 0.11748601 5.66166946 0.01537421 0.76824462 -0.19079590
2425.81475119 1.00007460 0.00013183 -0.17584097 0.06400584 2.93989223 0.01778999 0.69407289 -0.19079590
2425.81516872 1.00005835 0.00013183 0.53494048 0.09923339 0.17740273 0.02571301 0.70571579 -0.17129517
2425.81558625 0.99984001 0.00013181 0.28261435 -0.03370650 -2.62168182 0.03311162 0.45160306 -0.19079590
2425.81600377 0.99979993 0.00013182 -0.14594314 0.06881236 -5.45319472 0.04095624 0.51986244 -0.19079590
2425.81642130 0.99994484 0.00013182 -0.01603878 -0.39322218 -8.31194782 0.04729148 0.41911016 -0.19079590
2425.81683882 0.99997108 0.00013183 0.33356106 0.07167194 -11.19237393 0.04618337 0.60603797 -0.19079590
