# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2391.03433787 0.99981121 0.00013186 -0.40367645 0.08156914 141.08670933 0.08671095 0.59398166 -0.09313965
2391.03475541 0.99993209 0.00013182 -0.30840278 0.10605698 139.38918418 0.03732740 0.57809742 -0.11270142
2391.03517295 0.99988311 0.00013182 -0.23312165 0.14932111 137.71712228 0.03507423 0.56030834 -0.15179443
2391.03559049 0.99979571 0.00013181 0.36338225 -0.13016862 136.06763646 0.03052071 0.62332365 -0.13226318
2391.03600803 0.99978774 0.00013180 -0.22964357 0.09993502 134.43865073 0.02762421 0.52177096 -0.14202881
2391.03642557 0.99923147 0.00013177 0.29619086 -0.21050651 132.82706440 0.02730593 0.46921403 -0.13226318
2391.03684311 1.00013308 0.00013182 -0.43737522 -0.18642908 131.23102126 0.02360159 0.51634828 -0.15179443
2391.03726066 0.99965126 0.00013179 -0.46264926 0.17353535 129.64801867 0.02442155 0.51716375 -0.17129517
2391.03767820 0.99995324 0.00013181 0.29820043 -0.10284209 128.07575238 0.02273539 0.64567736 -0.15179443
2391.03809574 0.99957404 0.00013179 -0.48467711 -0.42303088 126.51173733 0.02410624 0.51848273 -0.17129517
2391.03851328 0.99982174 0.00013181 -0.14408275 -0.01956291 124.95386144 0.02752600 0.61141925 -0.17129517
2391.03893082 0.99972057 0.00013180 0.20748690 0.01132050 123.39957920 0.02939081 0.54180546 -0.17129517
2391.03934836 0.99981891 0.00013181 -0.32744205 -0.12520948 121.84693011 0.03108413 0.60939049 -0.17129517
2391.03976589 0.99970648 0.00013180 -0.12777442 -0.29446971 120.29379715 0.03053397 0.55989267 -0.15179443
2391.04018344 0.99974165 0.00013181 0.12362648 0.22107460 118.73752012 0.03183959 0.53699049 -0.19079590
2391.04060098 0.99955250 0.00013180 -0.15052365 -0.08608366 117.17589590 0.03324543 0.74579964 -0.17129517
2391.04310621 0.99977414 0.00013181 0.10425228 -0.13444372 107.56718210 0.03242951 0.57128638 -0.15179443
2391.04352376 0.99956356 0.00013179 0.10845174 -0.25130817 105.90356940 0.03223417 0.45478991 -0.17129517
2391.04394129 0.99974608 0.00013181 -1.00000000 0.03707377 104.21521629 0.03035575 0.74572823 -0.15179443
2391.04435883 0.99976277 0.00013181 -0.35585928 0.03512432 102.50030392 0.03620292 0.64553882 -0.19079590
2391.04477637 0.99983167 0.00013182 -0.05777480 0.19272205 100.75556542 0.03506257 0.69637436 -0.17129517
2391.04519391 0.99981694 0.00013181 -0.23917608 0.22699134 98.97836830 0.03100496 0.65072021 -0.15179443
2391.04561145 0.99992137 0.00013182 0.02214379 -0.51622832 97.16601183 0.03078420 0.75194304 -0.17129517
2391.04602899 0.99982822 0.00013182 0.02129359 -0.13136564 95.31590735 0.02977845 0.74243459 -0.17129517
2391.04644653 0.99962731 0.00013180 -0.30842856 -0.00591676 93.42519655 0.03272184 0.69769671 -0.15179443
2391.04686407 0.99947410 0.00013180 -0.02312280 -0.16460891 91.49091773 0.03663622 0.83001137 -0.17129517
2391.04728161 0.99963256 0.00013180 -0.10765307 0.07609700 89.51020771 0.03177356 0.74523609 -0.18106079
2391.04769915 0.99971003 0.00013181 -0.29843229 -0.06761517 87.48047907 0.03264691 0.61405138 -0.17129517
2391.04811669 0.99985906 0.00013181 0.14349020 -0.10297890 85.39871989 0.03195196 0.55092287 -0.17129517
2391.04853423 0.99995224 0.00013182 0.14995685 -0.11758268 83.26262598 0.02738523 0.59297525 -0.19079590
2391.04895177 0.99990263 0.00013182 -0.44064718 0.06884640 81.06960879 0.02809352 0.67516520 -0.17129517
2391.04936931 0.99982255 0.00013181 -0.55472827 0.02202538 78.81706436 0.03549243 0.50018122 -0.19079590
2391.04978685 0.99968628 0.00013180 0.52218890 -0.18957557 76.50364364 0.03577793 0.50630856 -0.19079590
2391.05020439 1.00011568 0.00013182 0.29956588 0.05136975 74.12657598 0.02381731 0.57921434 -0.17129517
2391.05062192 0.99962020 0.00013179 -0.49518865 0.13098943 71.68536335 0.02345862 0.54513546 -0.17129517
2391.05103947 1.00005730 0.00013182 -0.34063300 -0.13748761 69.17889368 0.01832044 0.62823551 -0.17129517
2391.05145701 1.00011374 0.00013182 -0.26027644 -0.01829748 66.60654931 0.01604220 0.65229807 -0.19079590
2391.05187454 0.99989830 0.00013181 -0.20823404 -0.18396662 63.96878937 0.01986192 0.58720093 -0.16156006
2391.05229209 1.00029612 0.00013183 0.16618790 -0.09152160 61.26699161 0.01401264 0.60319207 -0.17129517
2391.05270962 0.99987610 0.00013180 -0.15714487 0.07804645 58.50278528 0.01341719 0.69811943 -0.15179443
2391.05312716 1.00004638 0.00013181 -0.34444603 -0.06758097 55.67881003 0.00842999 0.72874642 -0.17129517
2391.05354470 1.00012398 0.00013182 0.30015844 -0.00875543 52.79888019 0.00879692 0.72320070 -0.17129517
2391.05396224 1.00006952 0.00013182 0.00096613 -0.01480899 49.86748001 0.00717152 0.87994971 -0.19079590
2391.05437978 1.00019334 0.00013182 -0.35779154 -0.22808577 46.89024643 0.00432572 0.76682007 -0.17129517
2391.05479732 1.00030443 0.00013182 0.17255150 0.14932111 43.87325810 0.00323314 0.70107723 -0.19079590
2391.05521486 1.00006647 0.00013181 -0.55493438 -0.25188959 40.82435754 0.00535481 0.71576110 -0.15179443
2391.05563240 1.00004229 0.00013181 -0.13766763 -0.13417011 37.75085637 0.00628823 0.86676513 -0.17129517
2391.05604994 1.00056711 0.00013184 0.02265906 0.25308663 34.66137107 0.00906497 0.70195383 -0.19079590
2391.05646748 1.00042634 0.00013183 0.32898787 -0.06098020 31.56515217 0.00553916 0.74109169 -0.17129517
2391.05688502 1.00035023 0.00013183 -0.29263547 -0.11364958 28.47042451 0.00517836 0.85646163 -0.17129517
2391.05730256 1.00039309 0.00013183 -0.13413802 -0.08033790 25.38697812 0.00586161 0.78269049 -0.17129517
2391.05772010 1.00047339 0.00013184 -0.41745996 0.08656247 22.32268427 0.00366400 0.91580751 -0.19079590
2391.05813764 1.00055306 0.00013184 0.23659973 -0.08994836 19.28646354 0.00320396 0.91045745 -0.19079590
2391.05855518 1.00041020 0.00013183 -0.32192865 -0.06905161 16.28535832 0.00297801 0.78857491 -0.19079590
2391.05897272 1.00021204 0.00013182 0.45811489 -0.09511269 13.32687657 0.00581676 0.76474791 -0.15179443
2391.05939025 1.00022227 0.00013182 -0.40099704 -0.10489415 10.41652684 0.00500251 0.68889698 -0.17129517
2391.05980780 1.00037254 0.00013183 0.16080330 -0.04572660 7.56005493 0.00494686 0.81607837 -0.17129517
