# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2439.67222448 0.99998577 0.00013200 -0.30655244 -0.52000219 71.54220698 0.31799177 0.67028737 0.36401367
2439.67264200 0.99983090 0.00013193 -0.48953873 -0.11039675 69.89709215 0.21203100 0.48035531 0.38418579
2439.67305951 0.99949410 0.00013189 -0.13269827 0.85119241 68.27776623 0.17324480 0.50199464 0.38418579
2439.67347703 0.99972931 0.00013189 -0.72096688 -0.29882404 66.68115107 0.14802751 0.36216750 0.38418579
2439.67389455 0.99976310 0.00013188 -0.12169547 0.11940873 65.10471791 0.12115990 0.68079423 0.34387207
2439.67431207 0.99985220 0.00013187 -0.15258701 0.67018354 63.54611357 0.09701038 0.54704296 0.34387207
2439.67472959 0.99973432 0.00013186 -0.41232216 -0.40652820 62.00286022 0.07934216 0.48527986 0.34387207
2439.67514711 0.99954619 0.00013184 -0.17986019 0.37526101 60.47196023 0.05908406 0.73868320 0.34387207
2439.67556463 0.99992692 0.00013186 -0.06426919 0.29690075 58.95172772 0.04949948 0.66945448 0.36401367
2439.67598215 0.99988189 0.00013185 -0.61731404 0.28997692 57.43954230 0.04192109 0.63115368 0.33380127
2439.67639967 0.99974761 0.00013183 0.03898981 -0.08737224 55.93283863 0.03848370 0.47917858 0.37411499
2439.67681718 0.99975835 0.00013184 -0.10429282 -0.04044401 54.42943552 0.03394121 0.63118035 0.32373047
2439.67723471 0.99981397 0.00013184 -0.11111111 0.15748984 52.92691604 0.03237319 0.74094784 0.32373047
2439.67765222 0.99974910 0.00013184 -0.21697928 0.28816354 51.42329791 0.02655541 0.78901622 0.32373047
2439.67806974 0.99967022 0.00013183 0.01334121 0.19188921 49.91602381 0.02269271 0.70501197 0.32373047
2439.67848726 1.00008432 0.00013185 -0.79956186 -0.29272446 48.40298093 0.01981103 0.61006026 0.30364990
2439.67890478 0.99997927 0.00013185 -0.29163590 -0.00967139 46.88139244 0.01815240 0.72980317 0.32373047
2439.67932230 0.99989763 0.00013184 -0.04177128 0.25063193 45.34927061 0.01287618 0.72297965 0.30364990
2439.67973982 0.99991338 0.00013184 -0.34874219 0.20375866 43.80406538 0.01204521 0.79896563 0.32373047
2439.68015734 0.99988139 0.00013184 -0.20809335 0.01637543 42.24280950 0.00878153 0.78226100 0.32373047
