7457.621800  0.989249  0.000740  -1.47  -1.38  1.18 15.65    35.88    50.00
7457.622570  0.992173  0.000742  -0.41  -2.00  1.18 15.18    36.12    50.00
7457.623347  0.991427  0.000742   0.23  -2.07  1.18 15.72    36.18    50.00
7457.624135  0.989676  0.000740   0.69  -1.13  1.18 16.03    35.82    50.00
7457.624924  0.989073  0.000735   0.13  -1.54  1.17 15.59    35.77    50.00
7457.625701  0.989457  0.000735  -0.79  -0.16  1.17 15.77    35.69    50.00
7457.626467  0.989463  0.000735  -0.77  -1.53  1.17 14.64    35.46    50.00
7457.627261  0.987284  0.000733   0.12   0.35  1.17 15.88    35.26    50.00
7457.628054  0.989708  0.000735  -0.22  -0.06  1.17 15.73    35.16    50.00
7457.628820  0.989056  0.000730  -0.92  -0.34  1.16 16.30    35.32    50.00
7457.629590  0.989805  0.000730  -0.44  -0.33  1.16 16.13    35.13    50.00
7457.630369  0.990209  0.000730   1.10  -1.09  1.16 16.44    34.96    50.00
7457.631137  0.989070  0.000729   0.29   0.05  1.16 15.63    35.25    50.00
7457.631909  0.988773  0.000729   0.52   0.75  1.16 16.62    35.12    50.00
7457.632717  0.988784  0.000724   1.05   0.42  1.15 15.74    35.10    50.00
7457.633489  0.989243  0.000723  -0.61  -0.27  1.15 14.38    35.00    50.00
7457.634272  0.990952  0.000725  -0.57  -1.23  1.15 15.08    35.05    50.00
7457.635074  0.989142  0.000723   0.33  -0.02  1.15 15.87    34.80    50.00
7457.635836  0.988137  0.000723  -0.03   0.25  1.15 15.93    34.83    50.00
7457.636822  0.988096  0.000723  -1.59   0.03  1.15 15.79    35.11    50.00
7457.637594  0.988710  0.000718  -0.76  -0.42  1.14 16.02    34.71    50.00
7457.638375  0.989884  0.000719   0.63  -0.48  1.14 14.61    34.84    50.00
7457.639170  0.990858  0.000720   0.45   0.00  1.14 15.39    34.94    50.00
7457.639935  0.989524  0.000719   1.62  -0.82  1.14 14.80    35.08    50.00
7457.640728  0.989967  0.000719   1.01  -1.31  1.14 15.51    34.88    50.00
7457.641501  0.991530  0.000720  -0.87  -0.86  1.14 13.67    35.18    50.00
7457.642272  0.989979  0.000714  -0.52  -0.70  1.13 14.33    34.91    50.00
7457.643053  0.991640  0.000715   0.87   0.65  1.13 14.12    34.90    50.00
7457.643843  0.990832  0.000714   0.06  -0.33  1.13 13.47    35.06    50.00
7457.644620  0.991213  0.000714   0.01  -1.01  1.13 13.76    35.08    50.00
7457.645378  0.991761  0.000715   0.45  -0.71  1.13 13.25    35.25    50.00
7457.646143  0.992037  0.000715  -0.94  -0.95  1.13 14.20    35.49    50.00
7457.646903  0.991346  0.000715  -1.85  -1.17  1.13 14.16    35.19    50.00
7457.647702  0.987724  0.000712   0.40  -0.15  1.13 14.85    35.30    50.00
7457.648481  0.988064  0.000708   1.73   0.82  1.12 16.39    35.56    50.00
7457.649259  0.990082  0.000710   0.67   1.74  1.12 15.93    35.17    50.00
7457.650061  0.992206  0.000711   0.96   1.99  1.12 14.29    35.20    50.00
7457.650853  0.989585  0.000709   0.53   0.85  1.12 16.04    35.39    50.00
7457.651628  0.988272  0.000708   1.17   1.20  1.12 15.12    35.42    50.00
7457.652458  0.989526  0.000708  -0.15  -0.31  1.12 14.75    35.36    50.00
7457.653229  0.987669  0.000707  -0.35  -0.70  1.12 14.79    35.75    50.00
7457.654040  0.989850  0.000709   0.41  -0.23  1.12 15.06    35.54    50.00
7457.654828  0.988887  0.000708   1.22   0.28  1.12 14.81    35.39    50.00
7457.655637  0.989956  0.000709  -1.34  -0.93  1.12 13.96    35.46    50.00
7457.656448  0.991739  0.000705  -1.67  -0.52  1.11 13.46    35.21    50.00
7457.657650  0.991372  0.000704   1.05   2.57  1.11 13.28    35.16    50.00
7457.658531  0.992631  0.000705   1.34   1.33  1.11 12.65    35.22    50.00
7457.659288  0.990199  0.000704   1.46  -1.78  1.11 14.88    35.23    50.00
7457.660073  0.993490  0.000706   1.70  -0.97  1.11 12.97    35.40    50.00
7457.660887  0.991043  0.000704  -1.20   0.69  1.11 15.16    35.10    50.00
7457.661652  0.991691  0.000704  -1.55   0.11  1.11 12.43    35.05    50.00
7457.662475  0.991416  0.000704  -0.27  -0.87  1.11 13.11    35.00    50.00
7457.663242  0.991524  0.000704  -0.18  -1.10  1.11 12.83    34.73    50.00
7457.664009  0.990762  0.000703   0.52  -0.24  1.11 11.58    34.78    50.00
7457.664781  0.993078  0.000705   1.19   0.56  1.11 12.52    34.92    50.00
7457.665544  0.991779  0.000704   5.85   3.99  1.11 12.86    35.02    50.00
7457.666319  0.991954  0.000704   6.13   4.99  1.11 13.13    35.02    50.00
7457.667108  0.992061  0.000704  -0.35  -0.85  1.11 12.76    35.23    50.00
7457.667889  0.990496  0.000698  -0.46  -0.78  1.10 13.49    35.05    50.00
7457.668682  0.990503  0.000698   0.11  -0.19  1.10 13.49    35.50    50.00
7457.669513  0.991422  0.000699   0.21  -0.45  1.10 13.97    35.42    50.00
7457.670286  0.992443  0.000700  -0.15  -0.92  1.10 13.24    35.16    50.00
7457.671087  0.990675  0.000698  -0.35  -0.26  1.10 13.17    35.36    50.00
7457.671863  0.989299  0.000697  -0.80  -0.65  1.10 14.12    35.43    50.00
7457.672662  0.992066  0.000700  -0.47   0.06  1.10 14.74    35.54    50.00
7457.673440  0.992381  0.000699  -0.45  -0.13  1.10 13.38    35.40    50.00
7457.674227  0.992483  0.000699   0.17  -0.22  1.10 12.21    36.02    50.00
7457.675039  0.992288  0.000699   1.42   0.03  1.10 13.30    36.06    50.00
7457.675749  0.990635  0.000782   1.55   0.87  1.10 12.45    28.53    40.00
7457.676422  0.991852  0.000783   0.86  -1.32  1.10 13.63    28.92    40.00
7457.677069  0.990090  0.000781   0.40  -1.03  1.10 13.34    28.73    40.00
7457.678249  0.987791  0.000780   0.29   0.45  1.10 14.88    28.98    40.00
7457.678912  0.987882  0.000780  -0.07   0.81  1.10 14.59    29.14    40.00
7457.679571  0.988976  0.000780  -1.36  -0.27  1.10 13.89    29.06    40.00
7457.680261  0.987832  0.000780  -1.45  -0.51  1.10 14.77    29.54    40.00
7457.681012  0.988396  0.000781  -0.44  -1.06  1.10 15.03    29.26    40.00
