8163.743619  0.987979  0.000752 -39.34 -24.43  1.10 11.35    26.95    35.00
8163.744177  0.991117  0.000755 -37.79 -23.22  1.10 11.14    27.14    35.00
8163.744732  0.988497  0.000752 -37.66 -23.30  1.10 10.95    27.13    35.00
8163.745285  0.990997  0.000755 -37.22 -22.28  1.10 11.72    27.26    35.00
8163.745832  0.990103  0.000754 -37.77 -22.40  1.10 11.13    27.45    35.00
8163.746385  0.990790  0.000755 -36.98 -20.96  1.10 11.54    27.56    35.00
8163.746937  0.990519  0.000754 -35.92 -21.43  1.10 11.39    27.30    35.00
8163.747492  0.989932  0.000754 -35.62 -23.24  1.10 11.13    27.25    35.00
8163.748040  0.990156  0.000754 -34.85 -20.77  1.10 11.05    27.49    35.00
8163.748588  0.989280  0.000754 -34.70 -18.27  1.10 11.10    27.43    35.00
8163.749149  0.991995  0.000755 -33.78 -17.83  1.10 11.46    27.35    35.00
8163.749699  0.991673  0.000755 -34.17 -20.80  1.10 11.51    27.57    35.00
8163.750264  0.989486  0.000754 -33.90 -22.83  1.10 11.09    27.71    35.00
8163.750817  0.990488  0.000755 -32.93 -19.42  1.10 11.28    27.64    35.00
8163.751366  0.988529  0.000753 -32.53 -20.42  1.10 11.09    27.57    35.00
8163.751929  0.989414  0.000754 -31.13 -20.50  1.10 11.14    27.53    35.00
8163.752487  0.989673  0.000754 -30.76 -20.42  1.10 11.40    27.78    35.00
8163.753045  0.987060  0.000752 -30.72 -20.21  1.10 11.20    27.53    35.00
8163.753609  0.989683  0.000754 -29.50 -19.02  1.10 11.40    27.61    35.00
8163.754165  0.989119  0.000754 -29.04 -20.45  1.10 11.50    27.59    35.00
8163.754719  0.988098  0.000753 -28.46 -19.40  1.10 11.42    27.66    35.00
8163.755270  0.989018  0.000754 -28.22 -19.31  1.10 11.04    27.68    35.00
8163.755818  0.987123  0.000752 -28.32 -19.19  1.10 11.39    27.56    35.00
8163.756373  0.987882  0.000753 -26.44 -18.16  1.10 11.22    27.68    35.00
8163.756922  0.987320  0.000752 -25.60 -17.93  1.10 11.24    27.49    35.00
8163.757493  0.986983  0.000752 -25.49 -19.49  1.10 11.49    27.73    35.00
8163.758042  0.984892  0.000750 -25.34 -18.70  1.10 11.39    27.64    35.00
8163.758604  0.987044  0.000752 -24.66 -18.13  1.10 11.66    27.83    35.00
8163.759159  0.986214  0.000751 -23.99 -17.68  1.10 11.55    27.68    35.00
8163.759715  0.987153  0.000753 -23.48 -17.16  1.10 11.72    27.45    35.00
8163.760263  0.985412  0.000751 -21.86 -17.27  1.10 11.78    27.62    35.00
8163.760810  0.987266  0.000752 -22.30 -17.00  1.10 11.02    27.64    35.00
8163.761366  0.987251  0.000752 -21.51 -17.37  1.10 11.13    27.77    35.00
8163.761930  0.986675  0.000752 -20.53 -16.45  1.10 11.29    28.07    35.00
8163.762485  0.986206  0.000752 -19.90 -16.63  1.10 11.64    28.12    35.00
8163.763042  0.987755  0.000753 -20.03 -16.40  1.10 11.42    28.19    35.00
8163.763680  0.987200  0.000752 -19.65 -16.14  1.10 10.30    27.84    35.00
8163.764233  0.987466  0.000759 -18.27 -15.41  1.11 11.08    27.78    35.00
8163.764788  0.987038  0.000759 -18.36 -14.90  1.11 10.99    27.85    35.00
8163.765341  0.987417  0.000759 -18.54 -14.75  1.11 11.34    27.94    35.00
8163.765894  0.988491  0.000760 -17.79 -14.34  1.11 11.63    27.91    35.00
8163.766456  0.987488  0.000759 -17.49 -13.74  1.11 11.21    28.11    35.00
8163.767011  0.988912  0.000760 -16.29 -13.82  1.11 11.11    28.17    35.00
8163.767564  0.987025  0.000759 -16.45 -13.10  1.11 12.31    28.19    35.00
8163.768119  0.987380  0.000759 -15.92 -12.82  1.11 11.51    28.24    35.00
8163.768668  0.988090  0.000760 -15.40 -13.16  1.11 10.87    28.29    35.00
8163.769225  0.988140  0.000760 -14.81 -11.88  1.11 11.46    28.52    35.00
8163.769778  0.988395  0.000760 -14.43 -12.64  1.11 11.49    28.83    35.00
8163.770327  0.989175  0.000761 -13.53 -11.70  1.11 10.42    28.78    35.00
8163.770889  0.989968  0.000761 -13.10 -12.08  1.11 10.16    28.88    35.00
8163.771445  0.988540  0.000760 -13.41 -11.84  1.11 11.50    28.58    35.00
8163.772000  0.989442  0.000761 -12.13 -12.17  1.11 10.63    28.62    35.00
8163.772556  0.987837  0.000760 -12.60 -10.71  1.11 11.62    28.64    35.00
8163.773111  0.989250  0.000761 -11.98 -10.33  1.11 10.58    28.76    35.00
8163.773656  0.989219  0.000761 -11.23  -9.64  1.11 11.08    28.96    35.00
8163.774213  0.988236  0.000761 -12.14 -10.46  1.11 10.58    28.96    35.00
8163.774766  0.988007  0.000760 -11.33 -10.01  1.11 10.99    29.00    35.00
8163.775324  0.988771  0.000761 -10.65 -10.97  1.11 11.56    28.72    35.00
8163.775877  0.988327  0.000767  -9.93 -10.23  1.12 11.87    28.94    35.00
8163.776434  0.987924  0.000767  -9.90  -8.79  1.12 11.55    29.04    35.00
8163.776988  0.987764  0.000767 -10.16  -9.33  1.12 12.38    29.02    35.00
8163.777541  0.987872  0.000767 -10.11  -7.58  1.12 12.28    28.79    35.00
8163.778096  0.987493  0.000766  -8.82  -8.27  1.12 11.56    29.02    35.00
