7016.8293385 -9.212983 0.005027 -0.018167 8.103522 35.635832
7019.7677347 -9.235881 0.006949 -0.014740 8.132284 35.433480
7022.8384169 -9.197522 0.004868 -0.013277 8.131299 35.505030
7040.7260808 -9.232592 0.006245 -0.031575 8.129209 35.485744
7067.8248970 -9.175439 0.006144 -0.004140 8.143376 35.423207
7068.6985472 -9.197831 0.005289 -0.000138 8.138343 35.446807
7121.6719658 -9.198717 0.007733 -0.037856 8.142652 35.400582
7185.5007741 -9.210940 0.009016  0.002945 8.101967 36.151677
7190.4823390 -9.216467 0.008218 -0.007642 8.113918 35.965598
7204.4773752 -9.223938 0.008860  0.005380 8.125063 35.399048
7422.6878084 -9.195379 0.004808 -0.013134 8.138234 35.505446
