#time			flux		fluxerr		x			bg		roll		contam			bg			smear
2314.56248150 0.99970818 0.00032601 -0.34222136 0.00001546 313.15083392 -0.06197154 -0.05389404 0.00129102
2314.56317623 1.00038286 0.00032612 -0.42659025 0.00001547 309.08838021 -0.16044468 -0.07351685 0.00164557
2314.56387096 1.00006715 0.00032606 -0.60137706 0.00001544 304.92372593 -0.11418105 -0.03424072 0.00148297
2314.56456568 0.99976797 0.00032602 -0.49653064 0.00001536 300.67086238 -0.18611984 0.00515747 0.00169689
2314.56526041 0.99945458 0.00032596 -0.76906896 0.00001547 296.33748294 0.05604436 -0.05389404 0.00099096
2314.56595513 0.99994483 0.00032604 -0.34850241 0.00001562 291.93123324 -0.02679108 -0.00473022 0.00123634
2314.56664986 0.99968741 0.00032600 -0.19648545 0.00001539 287.46643992 -0.01526019 -0.05389404 0.00106383
2314.56734459 0.99951994 0.00032597 0.00445206 0.00001543 282.96326112 0.07295877 0.01501465 0.00084168
2314.56803932 1.00032945 0.00032611 0.33221511 0.00001531 278.44195449 -0.13514464 -0.05389404 0.00157186
2314.56873405 1.00031160 0.00032610 0.62576661 0.00001526 273.92276847 -0.00428563 0.00515747 0.00109615
2314.56942876 0.99955079 0.00032598 0.50457017 0.00001528 269.42601556 -0.19775303 0.00515747 0.00173605
2314.57012349 0.99938022 0.00032595 -0.30328049 0.00001549 264.96954071 -0.06231300 -0.01455688 0.00126892
2314.57081822 0.99906561 0.00032590 0.00709647 0.00001548 260.56702464 0.01174880 -0.02441406 0.00102244
2314.57151295 1.00004950 0.00032606 -0.03996824 0.00001557 256.23157364 0.03743878 -0.06372070 0.00095341
2314.57220768 0.99989333 0.00032604 0.07036746 0.00001543 251.97628492 -0.02679661 -0.04406738 0.00119967
2314.57290240 1.00038618 0.00032612 -0.05207514 0.00001527 247.81433332 -0.16599468 -0.07351685 0.00163434
2314.57359713 0.99996717 0.00032605 0.12852734 0.00001537 243.75677426 -0.08840379 -0.03424072 0.00140425
2314.57429186 1.00003893 0.00032606 0.34594990 0.00001525 239.80509801 -0.06494887 0.00515747 0.00114869
2314.57498659 1.00000748 0.00032605 -0.01720603 0.00001535 235.95757945 -0.08563405 -0.03424072 0.00136646
2314.57568130 0.99957988 0.00032598 -0.18643898 0.00001552 232.21256004 -0.16907670 -0.02441406 0.00171227
2314.57637603 0.99907716 0.00032590 -0.35509810 0.00001572 228.56819329 -0.09941442 -0.09313965 0.00142314
2314.57707076 1.00044333 0.00032613 -0.09991324 0.00001541 225.02262286 -0.06431960 0.00515747 0.00122675
2314.57776549 0.99976917 0.00032602 -0.17401699 0.00001539 221.57086440 0.01136227 -0.09310913 0.00100017
2314.57846022 1.00000272 0.00032605 0.56506328 0.00001552 218.20547106 0.02359443 0.00515747 0.00088035
2314.57915494 1.00068325 0.00032616 0.27057150 0.00001508 214.91898898 -0.00692722 -0.00473022 0.00102878
2314.57984967 1.00002612 0.00032606 0.52164600 0.00001559 211.70379284 -0.13086272 -0.03424072 0.00157293
2314.58054439 1.00056318 0.00032614 0.38578625 0.00001533 208.55242746 -0.19149136 -0.06372070 0.00168776
2314.58123912 0.99972711 0.00032601 0.71415570 0.00001545 205.45710109 -0.09592977 -0.05389404 0.00129140
2314.58193385 1.00020005 0.00032609 0.77272742 0.00001534 202.40950269 -0.04479733 -0.01455688 0.00126335
2314.58262857 1.00091040 0.00032620 0.62308461 0.00001524 199.40130551 -0.15938435 -0.09313965 0.00154368
2314.58332330 0.99954472 0.00032598 0.51526231 0.00001544 196.42403679 -0.06413572 -0.00469971 0.00134732
2314.58401803 0.99994319 0.00032604 0.44902634 0.00001550 193.46937500 -0.01993291 -0.03424072 0.00109217
2314.58471276 1.00032112 0.00032611 0.44064607 0.00001560 190.52895512 0.00068990 0.00515747 0.00097390
2314.58540747 0.99969180 0.00032600 0.02288524 0.00001575 187.59452583 -0.14579710 -0.00473022 0.00154064
2314.58610220 0.99900907 0.00032589 -0.24484010 0.00001597 184.65770075 -0.15520600 -0.05389404 0.00165224
2314.58679693 0.99974087 0.00032601 0.02728844 0.00001566 181.71024698 -0.01370672 0.01501465 0.00110795
2314.58749166 1.00060012 0.00032615 -0.09083338 0.00001573 178.74387645 -0.01067565 -0.07351685 0.00112545
2314.58818639 1.00059619 0.00032615 -0.02209233 0.00001601 175.75030769 0.05016764 -0.02441406 0.00090501
2314.58888111 0.99975881 0.00032601 0.04338131 0.00001612 172.72131328 -0.14861826 0.00515747 0.00156893
2314.58957584 1.00063000 0.00032616 -0.24305919 0.00001649 169.64852502 -0.00516099 0.00515747 0.00103097
2314.59027057 0.99944730 0.00032596 -0.21893073 0.00001856 166.52372691 -0.12551443 -0.02441406 0.00154313
2314.59096530 0.99942185 0.00032596 0.24008946 0.00002089 163.33864756 -0.13821670 -0.03424072 0.00147423
2314.59166002 0.99999368 0.00032605 0.20795789 0.00003228 160.08502844 -0.04261450 0.01501465 0.00113607
2314.59235474 1.00013672 0.00032608 0.50242652 0.00003583 156.75533574 -0.15097924 -0.07354736 0.00152239
2314.59304947 1.00030088 0.00032610 -0.18988128 0.00003121 153.34314152 -0.06456508 0.02487183 0.00127335
2314.61180708 1.00009417 0.00032607 -0.14752774 0.00003056 43.17074277 -0.07148616 0.05450439 0.00130923
2314.61250181 1.00055454 0.00032614 -0.27470798 0.00002724 39.76889837 -0.11849407 0.08419800 0.00147183
2314.61319654 1.00084004 0.00032619 0.34586185 0.00002279 36.44845629 -0.10698741 0.10400391 0.00145577
2314.61389127 0.99989607 0.00032604 0.57087578 0.00001794 33.20276764 -0.10324595 0.10400391 0.00140972
2314.61458600 0.99997057 0.00032605 0.39259146 0.00001758 30.02462813 -0.11575804 0.11392212 0.00140433
