#time			flux		fluxerr		x			y		roll		contam			bg			smear
2297.88055718 0.99982245 0.00032596 0.51647735 -0.36866460 267.77984612 -0.09891531 0.02487183 0.00144353
2297.88125193 0.99983764 0.00032596 -0.01546694 -0.24317725 263.94554144 -0.04930000 -0.01455688 0.00131874
2297.88194667 0.99987855 0.00032597 0.27350886 0.14442284 260.13034435 -0.03017163 -0.01455688 0.00118415
2297.88264141 1.00110641 0.00032617 0.09282084 -0.51815755 256.33717450 0.03226034 -0.03424072 0.00102594
2297.88333615 0.99899353 0.00032582 -0.03156369 -0.42563721 252.56817692 -0.06653151 0.00515747 0.00135682
2297.88403090 0.99978162 0.00032595 0.01324832 -0.30720224 248.82550207 -0.10896889 -0.02441406 0.00148611
2297.88472565 0.99952932 0.00032591 0.09602039 0.02934093 245.11056105 -0.05096613 0.00515747 0.00126647
2297.88542038 0.99978134 0.00032595 0.42547933 0.17835686 241.42438299 -0.02651109 -0.01455688 0.00112815
2297.88611513 0.99922019 0.00032586 -0.07550179 0.15142649 237.76725029 -0.05811407 0.02487183 0.00130689
2297.88680987 0.99893849 0.00032581 -0.32860740 -0.35172813 234.13911260 -0.12504808 -0.01455688 0.00159987
2297.88750462 1.00014751 0.00032601 -0.18715315 -0.28268971 230.53956965 -0.16962693 -0.03424072 0.00176565
2297.88819936 1.00009346 0.00032600 -0.08556134 0.11108099 226.96747846 0.03413034 0.00515747 0.00098502
2297.88889410 0.99959086 0.00032592 -0.24765532 0.01835713 223.42175515 0.07191888 0.00515747 0.00082431
2297.88958884 1.00024972 0.00032603 0.20183024 -0.22665354 219.90042884 -0.17818636 0.03475952 0.00175330
2297.89028359 1.00011055 0.00032600 0.47514851 -0.10570491 216.40156808 -0.05227059 0.02487183 0.00126590
2297.89097834 1.00017963 0.00032602 0.23188813 -0.63086004 212.92277478 0.00622259 0.04461670 0.00108173
2297.89167308 1.00007080 0.00032600 0.52399955 0.14981645 209.46159518 -0.08434013 0.01501465 0.00126891
2297.89236782 0.99999269 0.00032599 0.58337181 -0.33523776 206.01519673 -0.17933398 -0.01455688 0.00162570
2297.89306256 0.99995261 0.00032598 0.67041532 -0.38653441 202.58057944 -0.08409115 -0.02441406 0.00137477
2297.89375731 1.00059724 0.00032608 0.39247319 -0.39019345 199.15463928 -0.16830831 -0.01455688 0.00164733
2297.89514679 1.00056917 0.00032608 0.52728156 -1.10827157 192.31627553 -0.09458846 -0.03424072 0.00143028
2297.89584154 0.99940527 0.00032589 0.15958062 -0.09875602 188.89730785 -0.06148621 0.02487183 0.00122628
2297.89653628 0.99945773 0.00032590 -0.04247647 -0.53945534 185.47412581 -0.03699700 -0.04406738 0.00122805
2297.89723103 1.00005343 0.00032600 0.08088850 -0.05141029 182.04344846 -0.01908135 -0.04406738 0.00111215
2297.89792577 0.99913624 0.00032585 -0.28946995 -0.17013833 178.60241041 -0.06282100 -0.01455688 0.00134017
2297.89862051 1.00008349 0.00032600 0.03831056 -0.00886491 175.14774173 -0.09895266 -0.03424072 0.00136496
2297.89931525 0.99972049 0.00032594 -0.07943182 0.35174551 171.67654927 -0.10085278 -0.01455688 0.00127080
2297.90001000 0.99977928 0.00032595 -0.35149150 0.19853083 168.18630184 -0.00163348 -0.03424072 0.00107857
2297.90070475 1.00008342 0.00032600 -0.02895737 -0.08717121 164.67440654 -0.08797535 -0.03424072 0.00150069
2297.90139949 1.00016434 0.00032601 0.09340202 -0.22671829 161.13868005 -0.12567648 -0.02441406 0.00157824
2297.90209423 0.99960039 0.00032592 0.31162615 -0.19522498 157.57741002 -0.18730149 -0.03424072 0.00173283
2297.90278897 1.00004736 0.00032599 0.08770860 0.13072915 153.98883631 -0.02591818 -0.00473022 0.00107343
