#Time	RV	RVerr	BIS	FWHM	logRHK	FWHMerr	BISerr	logRHKerr
1765.8800329999995	81722.91	0.61	-68.02	6668.53	-5.98	1.22	1.22	0.01
1792.7893129999993	81730.59	0.27	-67.64	6672.29	-5.18	0.53	0.53	0.0
1799.6799520000004	81734.23	0.54	-60.22	6681.47	-5.5	1.08	1.08	0.0
1803.799572	81726.85	0.26	-67.25	6675.84	-5.19	0.53	0.53	0.0
1806.6643960000001	81732.28	0.34	-68.05	6675.23	-5.26	0.67	0.67	0.0
1814.6274830000002	81731.51	0.29	-66.7	6671.59	-5.25	0.59	0.59	0.0
1823.8098570000002	81734.16	0.29	-64.45	6673.61	-5.22	0.59	0.59	0.0
1850.7526610000004	81730.02	0.33	-66.91	6668.18	-5.18	0.65	0.65	0.0
1853.7639180000006	81727.91	0.3	-70.75	6671.1	-5.25	0.6	0.6	0.0
1858.6676989999996	81726.97	0.27	-66.85	6672.31	-5.25	0.55	0.55	0.0
1879.6625949999998	81729.7	0.26	-69.56	6667.42	-5.21	0.52	0.52	0.0
1910.6366909999997	81726.05	0.27	-69.43	6666.97	-5.15	0.53	0.53	0.0
1924.5016969999997	81723.16	0.32	-66.17	6667.98	-5.14	0.63	0.63	0.0
