# time-2457000 flux       flux_err  
1504.71371839 0.98869592 0.00100545
1504.71510729 0.98810709 0.00100595
1504.71649618 0.98741162 0.00100435
1504.71788507 0.99000621 0.00100505
1504.71927396 0.98953170 0.00100471
1504.72066285 0.98992604 0.00100452
1504.72205174 0.98843247 0.00100348
1504.72344063 0.98697907 0.00100259
1504.72482952 0.98913306 0.00100323
1504.72621841 0.98928738 0.00100309
1504.72760730 0.98886609 0.00100241
1504.72899620 0.98830104 0.00100253
1504.73038509 0.98904091 0.00100186
1504.73177398 0.98707694 0.00100113
1504.73316287 0.98959661 0.00100155
1504.73455176 0.98919690 0.00100086
1504.73594065 0.98753870 0.00099997
1504.73732954 0.98660582 0.00099928
1504.73871843 0.99030364 0.00100021
1504.74010732 0.98932815 0.00099944
1504.74149622 0.98963934 0.00100001
1504.74288511 0.98728412 0.00099878
1504.74427400 0.98838896 0.00099838
1504.74566289 0.98817247 0.00099810
1504.74705178 0.98612761 0.00099761
1504.74844067 0.98905480 0.00099801
1504.74982956 0.98877418 0.00099733
1504.75121845 0.98929143 0.00099722
1504.75260734 0.98862803 0.00099692
1504.75399623 0.98789346 0.00099636
1504.75538513 0.98926479 0.00099677
1504.75677402 0.98682481 0.00099548
1504.75816291 0.98811722 0.00099539
1504.75955180 0.98760045 0.00099510
1504.76094069 0.98857599 0.00099505
1504.76232958 0.98933703 0.00099525
1504.76371847 0.98831481 0.00099418
1504.76510736 0.98940152 0.00099435
1504.76649625 0.98806900 0.00099432
1504.76788514 0.98805767 0.00099354
1504.76927404 0.98677504 0.00099283
1504.77066293 0.98816067 0.00099314
1504.77205182 0.98859614 0.00099297
1504.77344071 0.98915154 0.00099289
1504.77482960 0.98966050 0.00099249
1504.77621849 0.98852205 0.00099183
1504.77760738 0.99139380 0.00099281
1504.77899627 0.98861730 0.00099173
1504.78038516 0.98862654 0.00099136
1504.78177405 0.98888075 0.00099161
1504.78316295 0.99052984 0.00099120
1504.78455184 0.99047554 0.00099137
1504.78594073 0.98774201 0.00099038
1504.78732962 0.99127609 0.00099104
1504.78871851 0.99037719 0.00099079
1504.79010740 0.98998570 0.00099096
1504.79149629 0.99007928 0.00099066
1504.79288518 0.98922497 0.00098962
1504.79427407 0.99085540 0.00099038
1504.79566297 0.99072474 0.00098995
1504.79705186 0.99194491 0.00099007
1504.79844075 0.99272740 0.00098995
1504.79982964 0.99459827 0.00099075
1504.80121853 0.99769229 0.00099164
1504.80260742 0.99846852 0.00099168
1504.80399631 1.00225019 0.00099303
1504.80538520 1.00126755 0.00099202
1504.80677409 1.00206053 0.00099259
1504.80816298 1.00517106 0.00099351
1504.80955188 1.00329757 0.00099236
1504.81094077 1.00411808 0.00099254
1504.81232966 1.00479341 0.00099246
1504.81371855 1.00170600 0.00099089
1504.81510744 1.00584662 0.00099260
1504.81649633 1.00421536 0.00099232
1504.81788522 1.00497723 0.00099177
1504.81927411 1.00212228 0.00099051
1504.82066300 1.00263035 0.00099027
1504.82205190 1.00384367 0.00099055
1504.82344079 1.00215650 0.00099005
1504.82482968 1.00282776 0.00098955
1504.82621857 1.00409293 0.00098978
1504.82760746 0.99984276 0.00098852
1504.82899635 1.00282204 0.00098858
1504.83038524 1.00554299 0.00098934
1504.83177413 1.00306594 0.00098881
1504.83316302 1.00325787 0.00098868
1504.83455192 1.00307965 0.00098799
1504.83594081 1.00343597 0.00098862
1504.83732970 1.00323534 0.00098815
1504.83871859 1.00328290 0.00098759
1504.84010748 1.00562036 0.00098806
1504.84149637 1.00239670 0.00098757
1504.84288526 1.00248230 0.00098678
1504.84427415 1.00351787 0.00098679
1504.84566304 1.00229752 0.00098626
1504.84705193 1.00377750 0.00098642
1504.84844083 1.00360250 0.00098668
1504.84982972 1.00428259 0.00098624
1504.85121861 1.00352442 0.00098566
1504.85260750 1.00297153 0.00098520
1504.85399639 1.00287628 0.00098516
1504.85538528 1.00564754 0.00098546
1504.85677417 1.00290751 0.00098483
1504.85816306 1.00381923 0.00098449
1504.85955195 1.00240004 0.00098398
1504.86094085 1.00473309 0.00098427
1504.86232974 1.00117922 0.00098298
1504.86371863 1.00519657 0.00098451
1504.86510752 1.00440776 0.00098385
1504.86649641 1.00282419 0.00098315
1504.86788530 1.00361586 0.00098286
1504.86927419 1.00390637 0.00098313
1504.87066308 1.00325108 0.00098290
1504.87205197 1.00151968 0.00098214
1504.87344086 1.00381994 0.00098335
1504.87482976 1.00361240 0.00098211
1504.87621865 1.00297260 0.00098190
1504.87760754 1.00497317 0.00098215
1504.87899643 1.00359547 0.00098187
1504.88038532 1.00408292 0.00098151
1504.88177421 1.00292838 0.00098092
1504.88316310 1.00286317 0.00098136
1504.88455199 1.00233698 0.00098041
1504.88594088 1.00376916 0.00098119
1504.88732978 1.00349581 0.00098052
1504.88871867 1.00378144 0.00098075
1504.89010756 1.00348997 0.00098034
1504.89149645 1.00349224 0.00097974
1504.89288534 1.00418723 0.00097985
1504.89427423 1.00388503 0.00097969
1504.89566312 1.00345492 0.00097980
1504.89705201 1.00417888 0.00097945
1504.89844090 1.00217903 0.00097879
1504.89982980 1.00395024 0.00097924
1504.90121869 1.00476778 0.00097993
1504.90260758 1.00469363 0.00097905
1504.90399647 1.00211596 0.00097841
1504.90538536 1.00385356 0.00097829
1504.90677425 1.00327075 0.00097856
1504.90816314 1.00377667 0.00097804
1504.90955203 1.00429547 0.00097849
1504.91094092 1.00376415 0.00097789
1504.91232981 1.00312591 0.00097785
1504.91371871 1.00455260 0.00097797
1504.91510760 1.00166762 0.00097704
1504.91649649 1.00306618 0.00097729
1504.91788538 1.00419986 0.00097783
1504.91927427 1.00367713 0.00097730
1504.92066316 1.00423276 0.00097701
1504.92205205 1.00377882 0.00097717
1504.92344094 1.00418913 0.00097680
1504.92482983 1.00325847 0.00097655
1504.92621873 1.00259054 0.00097625
1504.92760762 1.00304651 0.00097642
1504.92899651 1.00411832 0.00097644
1504.93038540 1.00429499 0.00097681
1504.93177429 1.00294375 0.00097609
1504.93316318 1.00360525 0.00097607
1504.93455207 1.00500524 0.00097645
1504.93594096 1.00316846 0.00097567
1504.93732985 1.00249410 0.00097508
1504.93871875 1.00532722 0.00097585
1504.94010764 1.00339341 0.00097522
1504.94149653 1.00245476 0.00097512
1504.94288542 1.00287819 0.00097469
1504.94427431 1.00520051 0.00097545
1504.94566320 1.00163364 0.00097432
1504.94705209 1.00441754 0.00097527
1504.94844098 1.00386584 0.00097494
1504.94982987 1.00332856 0.00097432
1504.95121876 1.00409269 0.00097473
1504.95260766 1.00435174 0.00097475
1504.95399655 1.00340426 0.00097494
1504.95538544 1.00146389 0.00097394
1504.95677433 1.00487339 0.00097488
1504.95816322 1.00305629 0.00097392
1504.95955211 1.00380599 0.00097391
1504.96094100 1.00362062 0.00097387
1504.96232989 1.00563192 0.00097447
1504.96371878 1.00506234 0.00097429
1504.96510767 1.00255156 0.00097336
1504.96649657 1.00304282 0.00097357
1504.96788546 1.00255239 0.00097322
1504.96927435 1.00219750 0.00097293
1504.97066324 1.00320816 0.00097294
1504.97205213 1.00192571 0.00097246
1504.97344102 1.00542533 0.00097379
1504.97482991 1.00321543 0.00097268
1504.97621880 1.00362813 0.00097317
1504.97760769 1.00397849 0.00097282
