# time-2457000 flux       flux_err  
1491.82200366 1.00247598 0.00097549
1491.82339256 1.00389326 0.00097564
1491.82478147 1.00244427 0.00097530
1491.82617037 1.00433803 0.00097667
1491.82755928 1.00204170 0.00097446
1491.82894819 1.00517559 0.00097573
1491.83033709 1.00110722 0.00097463
1491.83172600 1.00369155 0.00097456
1491.83311491 1.00207746 0.00097425
1491.83450381 1.00467157 0.00097522
1491.83589272 1.00423944 0.00097496
1491.83728163 1.00676489 0.00097566
1491.83867053 1.00322092 0.00097443
1491.84005944 1.00359404 0.00097427
1491.84144835 1.00370240 0.00097453
1491.84283725 1.00145996 0.00097328
1491.84422616 1.00506246 0.00097455
1491.84561507 1.00332606 0.00097454
1491.84700397 1.00369537 0.00097385
1491.84839288 1.00579250 0.00097415
1491.84978179 1.00311291 0.00097340
1491.85117069 1.00577223 0.00097403
1491.85255960 1.00491595 0.00097394
1491.85394851 1.00350571 0.00097311
1491.85533741 1.00362098 0.00097322
1491.85672632 1.00388885 0.00097308
1491.85811523 1.00422919 0.00097359
1491.85950413 1.00327754 0.00097274
1491.86089304 1.00728381 0.00097417
1491.86228195 1.00398350 0.00097311
1491.86367085 1.00278997 0.00097195
1491.86505976 1.00269675 0.00097271
1491.86644867 1.00284708 0.00097274
1491.86783757 1.00550687 0.00097360
1491.86922648 1.00312412 0.00097247
1491.87061539 1.00383604 0.00097337
1491.87200429 1.00263345 0.00097191
1491.87339320 1.00247037 0.00097188
1491.87478211 1.00469565 0.00097206
1491.87617101 1.00408089 0.00097285
1491.87755992 1.00469971 0.00097255
1491.87894883 1.00338316 0.00097196
1491.88033773 1.00425875 0.00097216
1491.88172664 1.00302243 0.00097155
1491.88311555 1.00513363 0.00097231
1491.88450445 1.00360286 0.00097138
1491.88589336 1.00447488 0.00097196
1491.88728227 1.00392091 0.00097205
1491.88867117 1.00418854 0.00097175
1491.89006008 1.00502229 0.00097225
1491.89144899 1.00370359 0.00097151
1491.89283789 1.00450754 0.00097136
1491.89422680 1.00317466 0.00097119
1491.89561570 1.00297141 0.00097101
1491.89700461 1.00370228 0.00097131
1491.89839352 1.00528193 0.00097184
1491.89978242 1.00500357 0.00097162
1491.90117133 1.00530624 0.00097167
1491.90256024 1.00317955 0.00097080
1491.90394914 1.00442481 0.00097113
1491.90533805 1.00131118 0.00096986
1491.90672696 1.00353050 0.00097047
1491.90811586 1.00584638 0.00097138
1491.90950477 1.00416005 0.00097098
1491.91089368 1.00339437 0.00097028
1491.91228258 1.00410092 0.00096993
1491.91367149 1.00248432 0.00096989
1491.91506040 1.00387716 0.00097007
1491.91644930 1.00371969 0.00097002
1491.91783821 1.00418878 0.00097056
1491.91922712 1.00251365 0.00096943
1491.92061602 1.00418186 0.00096992
1491.92200493 1.00487983 0.00097050
1491.92339384 1.00428915 0.00096992
1491.92478274 1.00363910 0.00096969
1491.92617165 1.00250912 0.00096996
1491.92756056 1.00447512 0.00096943
1491.92894946 1.00157464 0.00096977
1491.93033837 1.00384355 0.00096922
1491.93172728 1.00220382 0.00096900
1491.93311618 1.00264156 0.00096891
1491.93450509 1.00086391 0.00096851
1491.93589400 1.00396979 0.00096958
1491.93728290 1.00594091 0.00097014
1491.93867181 1.00319636 0.00096910
1491.94006072 1.00148392 0.00096849
1491.94144962 1.00244021 0.00096863
1491.94283853 1.00208259 0.00096904
1491.94422743 1.00033510 0.00096776
